Textbox15,Textbox17
"COA Notes:
",SOP 430.00 VOCs and SVOCs: 

Textbox24,Textbox76,Textbox77,Textbox84,Textbox62,Textbox9,Textbox13,Textbox37,Textbox10,Textbox4,Textbox27,WPPRResultQualifier
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Eicosa,F20-08,MyExposome PO 225,A200558,DDA_0823,,11300,
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Heptadeca,F20-08,MyExposome PO 225,A200558,DDA_0823,,4360,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Hexadeca,F20-08,MyExposome PO 225,A200558,DDA_0823,,2020,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Nona,F20-08,MyExposome PO 225,A200558,DDA_0823,,1660,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Octadeca,F20-08,MyExposome PO 225,A200558,DDA_0823,,4460,
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Pentadeca,F20-08,MyExposome PO 225,A200558,DDA_0823,,1850,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Propylbenze,F20-08,MyExposome PO 225,A200558,DDA_0823,,< 0.18 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Tetradeca,F20-08,MyExposome PO 225,A200558,DDA_0823,,1020,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Undeca,F20-08,MyExposome PO 225,A200558,DDA_0823,,187,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,o-Dichlorobenze,F20-08,MyExposome PO 225,A200558,DDA_0823,,< 0.18 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,o-Xyle,F20-08,MyExposome PO 225,A200558,DDA_0823,,< 0.22 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,p-Dichlorobenze,F20-08,MyExposome PO 225,A200558,DDA_0823,,< 0.90 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,p-Isopropyltolue,F20-08,MyExposome PO 225,A200558,DDA_0823,,11.2,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,sec-Butylbenze,F20-08,MyExposome PO 225,A200558,DDA_0823,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,Styre,F20-08,MyExposome PO 225,A200558,DDA_0823,,17,
VOC and SVOC by GC-MS (ng/g),,,ng/g,tert-Butylbenze,F20-08,MyExposome PO 225,A200558,DDA_0823,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,Xylenes (m and ,F20-08,MyExposome PO 225,A200558,DDA_0823,,3.74,
VOC and SVOC by GC-MS (ng/g),,,ng/g,"1,2,3-Trichlorobenze",F20-08,MyExposome PO 225,A200559,DDA_0117,,< 0.17 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,"1,2,3-Trimethylbenze",F20-08,MyExposome PO 225,A200559,DDA_0117,,0.81,JB
VOC and SVOC by GC-MS (ng/g),,,ng/g,"1,2,4-Trichlorobenze",F20-08,MyExposome PO 225,A200559,DDA_0117,,< 0.17 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,"1,2,4-Trimethylbenze",F20-08,MyExposome PO 225,A200559,DDA_0117,,3.82,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,"1,3,5-Trimethylbenze",F20-08,MyExposome PO 225,A200559,DDA_0117,,< 0.16 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,"1,3-Dichlorobenze",F20-08,MyExposome PO 225,A200559,DDA_0117,,< 0.16 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,2-Chlorotolue,F20-08,MyExposome PO 225,A200559,DDA_0117,,< 0.17 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,4-Chlorotolue,F20-08,MyExposome PO 225,A200559,DDA_0117,,< 0.16 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,Bromobenze,F20-08,MyExposome PO 225,A200559,DDA_0117,,< 0.16 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,Chlorobenze,F20-08,MyExposome PO 225,A200559,DDA_0117,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,Cume,F20-08,MyExposome PO 225,A200559,DDA_0117,,< 0.17 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,Ethylbenze,F20-08,MyExposome PO 225,A200559,DDA_0117,,< 0.18 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Butylbenze,F20-08,MyExposome PO 225,A200559,DDA_0117,,< 0.17 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Deca,F20-08,MyExposome PO 225,A200559,DDA_0117,,39.2,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Dodeca,F20-08,MyExposome PO 225,A200559,DDA_0117,,48.5,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Eicosa,F20-08,MyExposome PO 225,A200559,DDA_0117,,12600,J
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Heptadeca,F20-08,MyExposome PO 225,A200559,DDA_0117,,7990,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Hexadeca,F20-08,MyExposome PO 225,A200559,DDA_0117,,4680,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Nona,F20-08,MyExposome PO 225,A200559,DDA_0117,,257,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Octadeca,F20-08,MyExposome PO 225,A200559,DDA_0117,,9350,
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Pentadeca,F20-08,MyExposome PO 225,A200559,DDA_0117,,2930,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Propylbenze,F20-08,MyExposome PO 225,A200559,DDA_0117,,0.33,JB
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Tetradeca,F20-08,MyExposome PO 225,A200559,DDA_0117,,2270,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Undeca,F20-08,MyExposome PO 225,A200559,DDA_0117,,134,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,o-Dichlorobenze,F20-08,MyExposome PO 225,A200559,DDA_0117,,< 0.16 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,o-Xyle,F20-08,MyExposome PO 225,A200559,DDA_0117,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,p-Dichlorobenze,F20-08,MyExposome PO 225,A200559,DDA_0117,,9.04,
VOC and SVOC by GC-MS (ng/g),,,ng/g,p-Isopropyltolue,F20-08,MyExposome PO 225,A200559,DDA_0117,,3.18,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,sec-Butylbenze,F20-08,MyExposome PO 225,A200559,DDA_0117,,< 0.17 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,Styre,F20-08,MyExposome PO 225,A200559,DDA_0117,,8.21,
VOC and SVOC by GC-MS (ng/g),,,ng/g,tert-Butylbenze,F20-08,MyExposome PO 225,A200559,DDA_0117,,< 0.17 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,Xylenes (m and ,F20-08,MyExposome PO 225,A200559,DDA_0117,,< 0.17 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,"1,2,3-Trichlorobenze",F20-08,MyExposome PO 225,A200560,KPU_0307,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,"1,2,3-Trimethylbenze",F20-08,MyExposome PO 225,A200560,KPU_0307,,5.55,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,"1,2,4-Trichlorobenze",F20-08,MyExposome PO 225,A200560,KPU_0307,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,"1,2,4-Trimethylbenze",F20-08,MyExposome PO 225,A200560,KPU_0307,,15.9,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,"1,3,5-Trimethylbenze",F20-08,MyExposome PO 225,A200560,KPU_0307,,3.4,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,"1,3-Dichlorobenze",F20-08,MyExposome PO 225,A200560,KPU_0307,,< 0.18 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,2-Chlorotolue,F20-08,MyExposome PO 225,A200560,KPU_0307,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,4-Chlorotolue,F20-08,MyExposome PO 225,A200560,KPU_0307,,< 0.18 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,Bromobenze,F20-08,MyExposome PO 225,A200560,KPU_0307,,< 0.17 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,Chlorobenze,F20-08,MyExposome PO 225,A200560,KPU_0307,,< 0.21 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,Cume,F20-08,MyExposome PO 225,A200560,KPU_0307,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,Ethylbenze,F20-08,MyExposome PO 225,A200560,KPU_0307,,< 0.20 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Butylbenze,F20-08,MyExposome PO 225,A200560,KPU_0307,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Deca,F20-08,MyExposome PO 225,A200560,KPU_0307,,119,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Dodeca,F20-08,MyExposome PO 225,A200560,KPU_0307,,191,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Eicosa,F20-08,MyExposome PO 225,A200560,KPU_0307,,30300,
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Heptadeca,F20-08,MyExposome PO 225,A200560,KPU_0307,,7530,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Hexadeca,F20-08,MyExposome PO 225,A200560,KPU_0307,,6900,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Nona,F20-08,MyExposome PO 225,A200560,KPU_0307,,698,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Octadeca,F20-08,MyExposome PO 225,A200560,KPU_0307,,8980,
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Pentadeca,F20-08,MyExposome PO 225,A200560,KPU_0307,,4480,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Propylbenze,F20-08,MyExposome PO 225,A200560,KPU_0307,,1.57,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Tetradeca,F20-08,MyExposome PO 225,A200560,KPU_0307,,3440,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,n-Undeca,F20-08,MyExposome PO 225,A200560,KPU_0307,,213,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,o-Dichlorobenze,F20-08,MyExposome PO 225,A200560,KPU_0307,,< 0.18 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,o-Xyle,F20-08,MyExposome PO 225,A200560,KPU_0307,,< 0.22 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,p-Dichlorobenze,F20-08,MyExposome PO 225,A200560,KPU_0307,,109,
VOC and SVOC by GC-MS (ng/g),,,ng/g,p-Isopropyltolue,F20-08,MyExposome PO 225,A200560,KPU_0307,,7.81,B
VOC and SVOC by GC-MS (ng/g),,,ng/g,sec-Butylbenze,F20-08,MyExposome PO 225,A200560,KPU_0307,,< 0.19 U,U
VOC and SVOC by GC-MS (ng/g),,,ng/g,Styre,F20-08,MyExposome PO 225,A200560,KPU_0307,,13.9,
VOC and SVOC by GC-MS (ng/g),,,ng/g,tert-Butylbenze,F20-08,MyExposome PO 225,A200560,KPU_0307,,< 0.19 U,U
