ParameterID,IARCgroup,IARCvolume,dateListed
252,1,"23, Sup 7, 100C",2012
253,1,"14, Sup 7, 100C",2012
255,3,"53, 73",1999
260,3,"8, Sup 7",1987
261,2B,"4, Sup 7, 71",1999
267,1,"29, Sup 7. 100F",2012
271,1,"29, Sup 7, 99, 100F",2012
272,2B,"92, Sup 7",2010
273,1,"Sup 7, 92, 100F",2012
275,2B,92,2010
276,3,"92, Sup 7",2010
277,3,"92, Sup 7",2010
278,2B,92,2010
279,2B,92,2010
281,2A,"29, Sup 7, 71",1999
283,3,"Sup 7, 73",1999
284,2A,"29, Sup 7, 71",1999
285,1,"Sup 7, 58, 100C",2012
291,3,"9, Sup 7, 71",1999
293,,,
293,2B,"Sup 7, 77, 101",2013
294,,,
294,1,"9, Sup 7, 100F",2012
303,2B,"52, 71",1999
304,3,"52, 71",1999
305,3,"41, Sup 7, 71",1999
349,1,"58, 100C",2012
351,2A,53,1991
352,3,"30, Sup 7",1987
353,3,"12, Sup 7",1987
354,2B,"32, Sup 7, 71, 103",2013
358,2B,"20, Sup 7, 71",1999
366,2A,"63, 84, 106",2014
368,2B,"Sup 7, 53, 79",2001
374,3,"52, 71",1999
377,3,"30, Sup 7",1987
378,3,"52, 71",1999
379,3,"52, 71",1999
380,2B,"Sup 7, 73",1999
381,3,"41, Sup 7, 71",1999
384,2B,"Sup 7, 71",1999
386,2B,"Sup 7, 73",1999
387,3,"12, Sup 7",1987
389,3,"Sup 7, 49",1990
390,2B,92,2010
397,2B,52,1991
397,2A,86,2006
397,2B,86,2006
397,,,
411,3,"47, 71",1999
412,3,"56, 73",1999
426,3,"Sup 7, 77",2000
431,3,"30, Sup 7",1987
432,2A,112,2015 online
433,2B,"32, Sup 7, 103",2013
434,2A,"Sup 7, 92",2010
435,2A,"32, Sup 7, 103",2013
436,3,"Sup 7, 92",2010
448,2B,"Sup 7, 53",1991
450,,,
461,2B,"77, 101",2013
463,1,"21, Sup 7, 100A",2012
464,2A,"54, 71",1999
480,3,"30, Sup 7",1987
481,3,"Sup 7, 92",2010
482,3,"Sup 7, 92",2010
485,1,"Sup 7, 62, 88, 100F",2012
511,1,113,In prep.
524,3,"15, Sup 7, 71",1999
525,2B,101,2013
526,3,"10, Sup 7",1987
531,2B,"20, Sup 7",1987
537,2B,"23, Sup 7",1987
550,2A,"30, Sup 7, 112",2015 online
556,3,58,1993
567,3,"20, Sup 7",1987
