recordID,masterParameterID,IARCgroup,dateListed,documentDate,noData
69,279,2B,2010,20-Oct-14,NULL
70,283,3,1999,20-Oct-14,NULL
71,286,NULL,NULL,20-Oct-14,1
72,293,2B,2013,20-Oct-14,NULL
73,298,NULL,NULL,20-Oct-14,1
74,306,NULL,NULL,20-Oct-14,1
75,309,NULL,NULL,20-Oct-14,1
76,312,NULL,NULL,20-Oct-14,1
77,351,2A,1991,20-Oct-14,NULL
78,352,3,1987,20-Oct-14,NULL
79,353,3,1987,20-Oct-14,NULL
80,355,NULL,NULL,20-Oct-14,1
81,361,NULL,NULL,20-Oct-14,1
82,362,NULL,NULL,20-Oct-14,1
83,371,NULL,NULL,20-Oct-14,1
84,377,3,1987,20-Oct-14,NULL
85,382,NULL,NULL,20-Oct-14,1
86,385,NULL,NULL,20-Oct-14,1
87,386,2B,1999,20-Oct-14,NULL
88,387,3,1987,20-Oct-14,NULL
89,388,NULL,NULL,20-Oct-14,1
90,390,2B,2010,20-Oct-14,NULL
91,391,NULL,NULL,20-Oct-14,1
92,395,NULL,NULL,20-Oct-14,1
93,402,NULL,NULL,20-Oct-14,1
94,404,NULL,NULL,20-Oct-14,1
95,410,NULL,NULL,20-Oct-14,1
96,415,NULL,NULL,20-Oct-14,1
97,420,NULL,NULL,20-Oct-14,1
98,425,NULL,NULL,20-Oct-14,1
99,429,NULL,NULL,20-Oct-14,1
100,430,NULL,NULL,20-Oct-14,1
101,431,3,1987,20-Oct-14,NULL
102,432,NULL,NULL,20-Oct-14,1
103,434,2A,2010,20-Oct-14,NULL
104,436,3,2010,20-Oct-14,NULL
105,443,NULL,NULL,20-Oct-14,1
106,444,NULL,NULL,20-Oct-14,1
107,445,NULL,NULL,20-Oct-14,1
108,447,NULL,NULL,20-Oct-14,1
109,448,2B,1991,20-Oct-14,NULL
110,449,NULL,NULL,20-Oct-14,1
111,450,3,1987,20-Oct-14,NULL
112,462,NULL,NULL,20-Oct-14,1
113,463,1,2012,20-Oct-14,NULL
114,465,NULL,NULL,20-Oct-14,1
115,466,NULL,NULL,20-Oct-14,1
116,470,NULL,NULL,20-Oct-14,1
117,471,NULL,NULL,20-Oct-14,1
118,472,NULL,NULL,20-Oct-14,1
119,473,NULL,NULL,20-Oct-14,1
120,479,NULL,NULL,20-Oct-14,1
121,480,3,1987,20-Oct-14,NULL
122,481,3,2010,20-Oct-14,NULL
123,482,3,2010,20-Oct-14,NULL
124,484,NULL,NULL,20-Oct-14,1
125,512,NULL,NULL,20-Oct-14,1
126,521,NULL,NULL,20-Oct-14,1
127,531,2B,1987,20-Oct-14,NULL
128,538,NULL,NULL,20-Oct-14,1
129,540,NULL,NULL,20-Oct-14,1
130,550,3,1987,20-Oct-14,NULL
131,565,NULL,NULL,20-Oct-14,1
132,566,NULL,NULL,20-Oct-14,1
133,567,3,1987,20-Oct-14,NULL
134,574,NULL,NULL,20-Oct-14,1
135,594,NULL,NULL,20-Oct-14,1
136,595,2B,2002,20-Oct-14,NULL
137,596,NULL,NULL,20-Oct-14,1
138,603,NULL,NULL,20-Oct-14,1
139,611,2B,1987,20-Oct-14,NULL
140,614,NULL,NULL,20-Oct-14,1
141,625,NULL,NULL,20-Oct-14,1
142,635,3,2010,20-Oct-14,NULL
143,638,3,1999,20-Oct-14,NULL
144,642,NULL,NULL,20-Oct-14,1
145,643,NULL,NULL,20-Oct-14,1
146,644,NULL,NULL,20-Oct-14,1
147,645,NULL,NULL,20-Oct-14,1
148,664,NULL,NULL,20-Oct-14,1
149,665,NULL,NULL,20-Oct-14,1
150,666,NULL,NULL,20-Oct-14,1
151,667,NULL,NULL,20-Oct-14,1
152,668,NULL,NULL,20-Oct-14,1
153,670,NULL,NULL,20-Oct-14,1
154,671,3,1987,20-Oct-14,NULL
155,676,NULL,NULL,20-Oct-14,1
156,678,3,2010,20-Oct-14,NULL
157,688,NULL,NULL,20-Oct-14,1
158,698,NULL,NULL,20-Oct-14,1
159,748,NULL,NULL,20-Oct-14,1
160,751,NULL,NULL,20-Oct-14,1
161,752,NULL,NULL,20-Oct-14,1
162,753,NULL,NULL,20-Oct-14,1
163,754,NULL,NULL,20-Oct-14,1
164,755,NULL,NULL,20-Oct-14,1
165,759,NULL,NULL,20-Oct-14,1
166,760,NULL,NULL,20-Oct-14,1
167,762,NULL,NULL,20-Oct-14,1
168,767,NULL,NULL,20-Oct-14,1
169,768,NULL,NULL,20-Oct-14,1
170,769,3,1987,20-Oct-14,NULL
171,770,NULL,NULL,20-Oct-14,1
172,771,NULL,NULL,20-Oct-14,1
173,773,NULL,NULL,20-Oct-14,1
174,774,NULL,NULL,20-Oct-14,1
175,777,NULL,NULL,20-Oct-14,1
176,793,NULL,NULL,20-Oct-14,1
177,798,NULL,NULL,20-Oct-14,1
178,812,NULL,NULL,20-Oct-14,1
179,817,2B,2001,20-Oct-14,NULL
180,818,NULL,NULL,20-Oct-14,1
181,820,2B,2001,20-Oct-14,NULL
182,824,3,1987,20-Oct-14,NULL
183,830,NULL,NULL,20-Oct-14,1
184,850,2B,2010,20-Oct-14,NULL
185,857,NULL,NULL,20-Oct-14,1
186,858,NULL,NULL,20-Oct-14,1
187,859,NULL,NULL,20-Oct-14,1
188,864,2B,1987,20-Oct-14,NULL
189,866,NULL,NULL,20-Oct-14,1
190,868,NULL,NULL,20-Oct-14,1
191,908,NULL,NULL,20-Oct-14,1
192,911,NULL,NULL,20-Oct-14,1
193,917,3,1987,20-Oct-14,NULL
194,919,3,1987,20-Oct-14,NULL
195,949,NULL,NULL,20-Oct-14,1
196,950,NULL,NULL,20-Oct-14,1
197,952,3,1987,20-Oct-14,NULL
198,953,2B,1999,20-Oct-14,NULL
199,956,3,1991,20-Oct-14,NULL
200,958,NULL,NULL,20-Oct-14,1
201,964,NULL,NULL,20-Oct-14,1
202,974,3,1999,20-Oct-14,NULL
203,975,NULL,NULL,20-Oct-14,1
204,992,NULL,NULL,20-Oct-14,1
205,996,NULL,NULL,20-Oct-14,1
206,997,NULL,NULL,20-Oct-14,1
207,998,2B,1987,20-Oct-14,NULL
208,1001,NULL,NULL,20-Oct-14,1
209,1005,NULL,NULL,20-Oct-14,1
210,1006,NULL,NULL,20-Oct-14,1
211,1007,NULL,NULL,20-Oct-14,1
212,1008,NULL,NULL,20-Oct-14,1
213,1013,NULL,NULL,20-Oct-14,1
214,1017,NULL,NULL,20-Oct-14,1
215,1019,NULL,NULL,20-Oct-14,1
216,1023,NULL,NULL,20-Oct-14,1
217,1026,NULL,NULL,20-Oct-14,1
218,1030,NULL,NULL,20-Oct-14,1
219,1032,NULL,NULL,20-Oct-14,1
220,1034,3,1991,20-Oct-14,NULL
221,1037,NULL,NULL,20-Oct-14,1
222,1051,NULL,NULL,20-Oct-14,1
223,1250,NULL,NULL,20-Oct-14,1
224,1264,NULL,NULL,20-Oct-14,1
225,1933,NULL,NULL,20-Oct-14,1
226,1974,1,in prep,20-Oct-14,NULL
227,1991,NULL,NULL,20-Oct-14,1
228,1992,NULL,NULL,20-Oct-14,1
229,300219,NULL,NULL,20-Oct-14,1
230,300222,NULL,NULL,20-Oct-14,1
231,300226,NULL,NULL,20-Oct-14,1
232,300228,NULL,NULL,20-Oct-14,1
233,300229,NULL,NULL,20-Oct-14,1
234,300230,NULL,NULL,20-Oct-14,1
235,300235,NULL,NULL,20-Oct-14,1
236,300236,NULL,NULL,20-Oct-14,1
237,300237,NULL,NULL,20-Oct-14,1
238,300240,NULL,NULL,20-Oct-14,1
239,300241,NULL,NULL,20-Oct-14,1
240,300245,3,1991,20-Oct-14,NULL
241,300246,NULL,NULL,20-Oct-14,1
242,300247,NULL,NULL,20-Oct-14,1
243,300249,NULL,NULL,20-Oct-14,1
244,300250,NULL,NULL,20-Oct-14,1
245,300251,NULL,NULL,20-Oct-14,1
246,300252,NULL,NULL,20-Oct-14,1
247,300253,NULL,NULL,20-Oct-14,1
248,300260,NULL,NULL,20-Oct-14,1
249,300261,NULL,NULL,20-Oct-14,1
250,300262,NULL,NULL,20-Oct-14,1
251,300263,NULL,NULL,20-Oct-14,1
252,300264,NULL,NULL,20-Oct-14,1
253,300265,1,in prep,20-Oct-14,NULL
254,300266,1,in prep,20-Oct-14,NULL
255,300267,1,in prep,20-Oct-14,NULL
256,300268,1,in prep,20-Oct-14,NULL
257,300269,1,in prep,20-Oct-14,NULL
258,300270,1,in prep,20-Oct-14,NULL
259,300271,1,in prep,20-Oct-14,NULL
260,300272,1,2012,20-Oct-14,NULL
261,300273,1,in prep,20-Oct-14,NULL
262,300274,1,in prep,20-Oct-14,NULL
263,300275,1,in prep,20-Oct-14,NULL
264,300276,1,in prep,20-Oct-14,NULL
265,300277,1,in prep,20-Oct-14,NULL
266,300278,1,in prep,20-Oct-14,NULL
267,300279,1,in prep,20-Oct-14,NULL
268,300280,1,in prep,20-Oct-14,NULL
269,300281,1,in prep,20-Oct-14,NULL
270,300282,1,in prep,20-Oct-14,NULL
271,300283,1,in prep,20-Oct-14,NULL
272,300284,1,in prep,20-Oct-14,NULL
273,300285,1,in prep,20-Oct-14,NULL
274,300286,1,in prep,20-Oct-14,NULL
275,300287,1,in prep,20-Oct-14,NULL
276,300288,1,in prep,20-Oct-14,NULL
277,300289,1,in prep,20-Oct-14,NULL
278,300291,2B,2010,20-Oct-14,NULL
279,300293,2A,2010,20-Oct-14,NULL
280,300294,NULL,NULL,20-Oct-14,1
281,300295,2B,2013,20-Oct-14,NULL
282,300296,NULL,NULL,20-Oct-14,1
283,300297,NULL,NULL,20-Oct-14,1
284,300298,NULL,NULL,20-Oct-14,1
285,300299,NULL,NULL,20-Oct-14,1
286,300301,NULL,NULL,20-Oct-14,1
287,300302,NULL,NULL,20-Oct-14,1
288,300303,NULL,NULL,20-Oct-14,1
289,300304,NULL,NULL,20-Oct-14,1
290,300305,NULL,NULL,20-Oct-14,1
291,300306,NULL,NULL,20-Oct-14,1
292,300307,NULL,NULL,20-Oct-14,1
293,300309,NULL,NULL,20-Oct-14,1
294,300312,NULL,NULL,20-Oct-14,1
295,300315,NULL,NULL,20-Oct-14,1
296,300316,NULL,NULL,20-Oct-14,1
297,300317,NULL,NULL,20-Oct-14,1
298,300318,3,2010,20-Oct-14,NULL
299,300327,NULL,NULL,20-Oct-14,1
300,300328,3,2010,20-Oct-14,NULL
301,300329,3,2010,20-Oct-14,NULL
302,300330,3,2010,20-Oct-14,NULL
303,300333,NULL,NULL,20-Oct-14,1
304,300334,NULL,NULL,20-Oct-14,1
305,300335,3,2010,20-Oct-14,NULL
306,300336,3,1987,20-Oct-14,NULL
307,300337,NULL,NULL,20-Oct-14,1
308,300347,2A,2013,20-Oct-14,NULL
309,300348,2B,2013,20-Oct-14,NULL
310,300349,2B,2013,20-Oct-14,NULL
311,300374,NULL,NULL,20-Oct-14,1
312,300377,3,2010,20-Oct-14,NULL
313,300378,NULL,NULL,20-Oct-14,1
314,300379,1,in prep,20-Oct-14,NULL
315,300386,NULL,NULL,20-Oct-14,1
316,300387,NULL,NULL,20-Oct-14,1
317,300388,3,2013,20-Oct-14,NULL
318,300389,NULL,NULL,20-Oct-14,1
319,300390,NULL,NULL,20-Oct-14,1
320,300391,NULL,NULL,20-Oct-14,1
321,300392,NULL,NULL,20-Oct-14,1
322,300406,2B,2010,20-Oct-14,NULL
323,300409,NULL,NULL,20-Oct-14,1
324,300432,1,in prep,20-Oct-14,NULL
325,300433,1,in prep,20-Oct-14,NULL
326,300435,1,in prep,20-Oct-14,NULL
327,300436,1,in prep,20-Oct-14,NULL
328,300437,1,in prep,20-Oct-14,NULL
329,300438,1,in prep,20-Oct-14,NULL
330,300440,1,in prep,20-Oct-14,NULL
331,300441,1,in prep,20-Oct-14,NULL
332,300442,1,in prep,20-Oct-14,NULL
333,300503,3,2010,20-Oct-14,NULL
334,300505,3,2010,20-Oct-14,NULL
335,300604,3,1987,20-Oct-14,NULL
336,300605,NULL,NULL,20-Oct-14,1
337,300628,NULL,NULL,20-Oct-14,1
338,300629,1,in prep,20-Oct-14,NULL
339,300631,NULL,NULL,20-Oct-14,1
340,300636,3,1991,20-Oct-14,NULL
341,300638,NULL,NULL,20-Oct-14,1
342,300639,NULL,NULL,20-Oct-14,1
343,300640,NULL,NULL,20-Oct-14,1
344,300641,NULL,NULL,20-Oct-14,1
345,300659,NULL,NULL,20-Oct-14,1
346,300685,NULL,NULL,20-Oct-14,1
347,300698,1,in prep,20-Oct-14,NULL
348,300699,1,in prep,20-Oct-14,NULL
349,300700,1,in prep,20-Oct-14,NULL
350,300701,1,in prep,20-Oct-14,NULL
351,300703,1,in prep,20-Oct-14,NULL
352,300704,1,in prep,20-Oct-14,NULL
353,300705,1,in prep,20-Oct-14,NULL
354,300707,1,in prep,20-Oct-14,NULL
355,300708,1,in prep,20-Oct-14,NULL
356,300711,2A,in prep,20-Oct-14,NULL
357,300713,NULL,NULL,20-Oct-14,1
358,300714,NULL,NULL,20-Oct-14,1
359,300715,NULL,NULL,20-Oct-14,1
360,300716,NULL,NULL,20-Oct-14,1
361,300718,1,in prep,20-Oct-14,NULL
362,300719,1,in prep,20-Oct-14,NULL
363,300720,1,in prep,20-Oct-14,NULL
364,300721,1,in prep,20-Oct-14,NULL
365,300722,1,in prep,20-Oct-14,NULL
366,300723,1,in prep,20-Oct-14,NULL
367,300724,1,in prep,20-Oct-14,NULL
368,300725,1,in prep,20-Oct-14,NULL
369,300726,1,in prep,20-Oct-14,NULL
370,300727,NULL,NULL,20-Oct-14,1
371,300728,NULL,NULL,20-Oct-14,1
372,300729,NULL,NULL,20-Oct-14,1
373,300730,NULL,NULL,20-Oct-14,1
374,300731,NULL,NULL,20-Oct-14,1
375,300732,NULL,NULL,20-Oct-14,1
376,300733,NULL,NULL,20-Oct-14,1
377,300734,NULL,NULL,20-Oct-14,1
378,300736,1,in prep,20-Oct-14,NULL
379,300737,1,in prep,20-Oct-14,NULL
380,300739,2A,2010,20-Oct-14,NULL
381,300743,1,in prep,20-Oct-14,NULL
382,300745,1,in prep,20-Oct-14,NULL
383,300763,1,in prep,20-Oct-14,NULL
384,300764,1,in prep,20-Oct-14,NULL
385,300765,1,in prep,20-Oct-14,NULL
386,300766,1,in prep,20-Oct-14,NULL
387,300773,1,in prep,20-Oct-14,NULL
388,300894,1,in prep,20-Oct-14,NULL
389,300897,1,in prep,20-Oct-14,NULL
390,300898,1,in prep,20-Oct-14,NULL
391,300899,1,in prep,20-Oct-14,NULL
392,300900,1,in prep,20-Oct-14,NULL
393,300901,1,in prep,20-Oct-14,NULL
394,300903,1,in prep,20-Oct-14,NULL
395,300904,1,in prep,20-Oct-14,NULL
396,300905,1,in prep,20-Oct-14,NULL
397,300906,1,in prep,20-Oct-14,NULL
398,300907,1,in prep,20-Oct-14,NULL
399,300908,1,in prep,20-Oct-14,NULL
400,300909,1,in prep,20-Oct-14,NULL
401,300910,1,in prep,20-Oct-14,NULL
402,300911,1,in prep,20-Oct-14,NULL
403,300912,1,in prep,20-Oct-14,NULL
404,300913,1,in prep,20-Oct-14,NULL
405,300914,1,in prep,20-Oct-14,NULL
406,300915,1,in prep,20-Oct-14,NULL
407,300916,1,in prep,20-Oct-14,NULL
408,300917,1,in prep,20-Oct-14,NULL
409,300918,1,in prep,20-Oct-14,NULL
410,300919,1,in prep,20-Oct-14,NULL
411,300920,1,in prep,20-Oct-14,NULL
412,300921,1,in prep,20-Oct-14,NULL
413,300922,1,in prep,20-Oct-14,NULL
414,300923,1,in prep,20-Oct-14,NULL
415,300924,1,in prep,20-Oct-14,NULL
416,300925,1,in prep,20-Oct-14,NULL
417,300926,1,in prep,20-Oct-14,NULL
418,300927,1,in prep,20-Oct-14,NULL
419,300928,1,in prep,20-Oct-14,NULL
420,300929,1,in prep,20-Oct-14,NULL
421,300930,1,in prep,20-Oct-14,NULL
422,300931,1,in prep,20-Oct-14,NULL
423,300932,1,in prep,20-Oct-14,NULL
424,300933,1,in prep,20-Oct-14,NULL
425,300934,1,in prep,20-Oct-14,NULL
426,300935,1,in prep,20-Oct-14,NULL
427,300936,1,in prep,20-Oct-14,NULL
428,300937,1,in prep,20-Oct-14,NULL
429,300938,1,in prep,20-Oct-14,NULL
430,300939,1,in prep,20-Oct-14,NULL
431,300940,1,in prep,20-Oct-14,NULL
432,300941,1,in prep,20-Oct-14,NULL
433,300942,1,in prep,20-Oct-14,NULL
434,300943,1,in prep,20-Oct-14,NULL
435,300944,1,in prep,20-Oct-14,NULL
436,300993,1,in prep,20-Oct-14,NULL
437,300994,1,in prep,20-Oct-14,NULL
438,300995,1,in prep,20-Oct-14,NULL
439,300996,1,in prep,20-Oct-14,NULL
440,300997,1,in prep,20-Oct-14,NULL
441,300998,1,in prep,20-Oct-14,NULL
442,300999,1,in prep,20-Oct-14,NULL
443,301000,1,in prep,20-Oct-14,NULL
444,301001,1,in prep,20-Oct-14,NULL
445,301002,1,in prep,20-Oct-14,NULL
446,301003,1,in prep,20-Oct-14,NULL
447,301004,1,in prep,20-Oct-14,NULL
448,301005,1,in prep,20-Oct-14,NULL
449,301006,1,in prep,20-Oct-14,NULL
450,301007,1,in prep,20-Oct-14,NULL
451,301008,1,in prep,20-Oct-14,NULL
452,301009,1,in prep,20-Oct-14,NULL
453,301010,1,in prep,20-Oct-14,NULL
454,301011,1,in prep,20-Oct-14,NULL
455,301017,1,in prep,20-Oct-14,NULL
456,301018,1,in prep,20-Oct-14,NULL
457,301019,1,in prep,20-Oct-14,NULL
458,301020,1,in prep,20-Oct-14,NULL
459,301021,1,in prep,20-Oct-14,NULL
460,301022,1,in prep,20-Oct-14,NULL
461,301023,1,in prep,20-Oct-14,NULL
462,301024,1,in prep,20-Oct-14,NULL
463,301025,1,in prep,20-Oct-14,NULL
464,301026,1,in prep,20-Oct-14,NULL
465,301027,1,in prep,20-Oct-14,NULL
466,301028,1,in prep,20-Oct-14,NULL
467,301029,1,in prep,20-Oct-14,NULL
468,301030,1,in prep,20-Oct-14,NULL
469,301031,1,in prep,20-Oct-14,NULL
470,301032,1,in prep,20-Oct-14,NULL
471,301033,1,in prep,20-Oct-14,NULL
472,301034,1,in prep,20-Oct-14,NULL
473,301035,1,in prep,20-Oct-14,NULL
474,301036,1,in prep,20-Oct-14,NULL
475,301037,1,in prep,20-Oct-14,NULL
476,301038,1,in prep,20-Oct-14,NULL
477,301039,1,in prep,20-Oct-14,NULL
478,301040,1,in prep,20-Oct-14,NULL
479,301041,1,in prep,20-Oct-14,NULL
480,301042,1,in prep,20-Oct-14,NULL
481,301043,1,in prep,20-Oct-14,NULL
482,301044,1,in prep,20-Oct-14,NULL
483,301045,1,in prep,20-Oct-14,NULL
484,301046,1,in prep,20-Oct-14,NULL
485,301047,1,in prep,20-Oct-14,NULL
486,301048,1,in prep,20-Oct-14,NULL
487,301049,1,in prep,20-Oct-14,NULL
488,301050,1,in prep,20-Oct-14,NULL
489,301051,1,in prep,20-Oct-14,NULL
490,301052,1,in prep,20-Oct-14,NULL
491,301053,1,in prep,20-Oct-14,NULL
492,301054,1,in prep,20-Oct-14,NULL
493,301055,1,in prep,20-Oct-14,NULL
494,301056,1,in prep,20-Oct-14,NULL
495,301057,1,in prep,20-Oct-14,NULL
496,301058,1,in prep,20-Oct-14,NULL
497,301059,1,in prep,20-Oct-14,NULL
498,301060,1,in prep,20-Oct-14,NULL
499,301061,1,in prep,20-Oct-14,NULL
500,301062,1,in prep,20-Oct-14,NULL
501,301063,1,in prep,20-Oct-14,NULL
502,301064,1,in prep,20-Oct-14,NULL
503,301065,1,in prep,20-Oct-14,NULL
504,301066,1,in prep,20-Oct-14,NULL
505,301067,1,in prep,20-Oct-14,NULL
506,301068,1,in prep,20-Oct-14,NULL
507,301069,1,in prep,20-Oct-14,NULL
508,301070,1,in prep,20-Oct-14,NULL
509,301071,1,in prep,20-Oct-14,NULL
510,301072,1,in prep,20-Oct-14,NULL
511,301073,1,in prep,20-Oct-14,NULL
512,301074,1,in prep,20-Oct-14,NULL
513,301075,1,in prep,20-Oct-14,NULL
514,301076,1,in prep,20-Oct-14,NULL
515,301077,1,in prep,20-Oct-14,NULL
516,301078,1,in prep,20-Oct-14,NULL
517,301079,1,in prep,20-Oct-14,NULL
518,301080,1,in prep,20-Oct-14,NULL
519,301081,1,in prep,20-Oct-14,NULL
520,301082,1,in prep,20-Oct-14,NULL
521,301083,1,in prep,20-Oct-14,NULL
522,301084,1,in prep,20-Oct-14,NULL
523,301085,1,in prep,20-Oct-14,NULL
524,301086,1,in prep,20-Oct-14,NULL
525,301087,1,in prep,20-Oct-14,NULL
526,301088,1,in prep,20-Oct-14,NULL
527,301089,1,in prep,20-Oct-14,NULL
528,301090,1,in prep,20-Oct-14,NULL
529,301091,1,in prep,20-Oct-14,NULL
530,301092,1,in prep,20-Oct-14,NULL
531,301093,NULL,NULL,20-Oct-14,1
532,301094,NULL,NULL,20-Oct-14,1
533,301095,3,1987,20-Oct-14,NULL
534,301096,2B,1993,20-Oct-14,NULL
535,301097,NULL,NULL,20-Oct-14,1
536,301098,NULL,NULL,20-Oct-14,1
537,301099,NULL,NULL,20-Oct-14,1
538,301100,NULL,NULL,20-Oct-14,1
539,301101,NULL,NULL,20-Oct-14,1
540,301102,NULL,NULL,20-Oct-14,1
541,301103,NULL,NULL,20-Oct-14,1
542,301104,NULL,NULL,20-Oct-14,1
543,301105,NULL,NULL,20-Oct-14,1
544,301106,NULL,NULL,20-Oct-14,1
545,301107,NULL,NULL,20-Oct-14,1
546,301108,NULL,NULL,20-Oct-14,1
547,301109,NULL,NULL,20-Oct-14,1
548,301110,NULL,NULL,20-Oct-14,1
549,301111,NULL,NULL,20-Oct-14,1
550,301112,NULL,NULL,20-Oct-14,1
551,301113,3,1987,20-Oct-14,NULL
552,301114,2B,1987,20-Oct-14,NULL
553,301115,NULL,NULL,20-Oct-14,1
554,301116,3,1999,20-Oct-14,NULL
555,301117,NULL,NULL,20-Oct-14,1
556,301118,NULL,NULL,20-Oct-14,1
557,301119,NULL,NULL,20-Oct-14,1
558,301120,NULL,NULL,20-Oct-14,1
559,301121,NULL,NULL,20-Oct-14,1
560,301122,NULL,NULL,20-Oct-14,1
561,301123,NULL,NULL,20-Oct-14,1
562,301124,NULL,NULL,20-Oct-14,1
563,301125,3,2001,20-Oct-14,NULL
564,301126,NULL,NULL,20-Oct-14,1
565,301127,NULL,NULL,20-Oct-14,1
566,301128,NULL,NULL,20-Oct-14,1
567,301129,NULL,NULL,20-Oct-14,1
568,301130,NULL,NULL,20-Oct-14,1
569,301131,NULL,NULL,20-Oct-14,1
570,301132,NULL,NULL,20-Oct-14,1
571,301133,NULL,NULL,20-Oct-14,1
572,301134,2B,2013,20-Oct-14,NULL
573,301135,NULL,NULL,20-Oct-14,1
574,301136,NULL,NULL,20-Oct-14,1
575,301137,3,1987,20-Oct-14,NULL
576,301138,NULL,NULL,20-Oct-14,1
577,301139,NULL,NULL,20-Oct-14,1
578,301140,NULL,NULL,20-Oct-14,1
579,301141,NULL,NULL,20-Oct-14,1
580,301142,NULL,NULL,20-Oct-14,1
581,301143,NULL,NULL,20-Oct-14,1
582,301144,NULL,NULL,20-Oct-14,1
583,301145,NULL,NULL,20-Oct-14,1
584,301146,NULL,NULL,20-Oct-14,1
585,301147,NULL,NULL,20-Oct-14,1
586,301148,NULL,NULL,20-Oct-14,1
587,301149,NULL,NULL,20-Oct-14,1
588,301150,NULL,NULL,20-Oct-14,1
589,301151,NULL,NULL,20-Oct-14,1
590,301152,NULL,NULL,20-Oct-14,1
591,301153,NULL,NULL,20-Oct-14,1
592,301154,NULL,NULL,20-Oct-14,1
593,301155,NULL,NULL,20-Oct-14,1
594,301156,NULL,NULL,20-Oct-14,1
595,301158,NULL,NULL,20-Oct-14,1
596,301159,NULL,NULL,20-Oct-14,1
597,301160,NULL,NULL,20-Oct-14,1
598,301161,NULL,NULL,20-Oct-14,1
599,301162,NULL,NULL,20-Oct-14,1
600,301163,NULL,NULL,20-Oct-14,1
601,301164,NULL,NULL,20-Oct-14,1
602,301165,NULL,NULL,20-Oct-14,1
603,301166,NULL,NULL,20-Oct-14,1
604,301167,NULL,NULL,20-Oct-14,1
605,301168,NULL,NULL,20-Oct-14,1
606,301169,NULL,NULL,20-Oct-14,1
607,301170,NULL,NULL,20-Oct-14,1
608,301171,NULL,NULL,20-Oct-14,1
609,301172,NULL,NULL,20-Oct-14,1
610,301173,NULL,NULL,20-Oct-14,1
611,301174,NULL,NULL,20-Oct-14,1
612,301175,NULL,NULL,20-Oct-14,1
613,301176,NULL,NULL,20-Oct-14,1
614,301177,NULL,NULL,20-Oct-14,1
615,301178,NULL,NULL,20-Oct-14,1
616,301179,NULL,NULL,20-Oct-14,1
617,301182,NULL,NULL,20-Oct-14,1
