"Chemical","CASRN","BR1002","BR1006","BR1010","BR1011","BR1013","BR1032","BR1037","BR1052","BR1062","BR1063","BR1130","BR1131","BR1141","BR1142","BR1172","BR1173","BR1187","BR1228","BR1233","BR1236","BR1242","BR1260","BR1261","BR1271","BR1296","BR1297","BR1311","BR1312","BR1384","BR1385","BR1386","BR1388","BR1389","BR1443","BR1445","BR1469","BR1471","BR1483","BR1489","BR1498"
"Cypermethrin-2","52315-07-8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D-Limonene","5989-27-5",472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.9,195,0,0,0,0,0,0,0,0,0,0,0,0,0,524,0,0,0,0,0,0,0
"Di-n-butyl phthalate","84-74-2",4460,6.03,1990,3930,23600,0,1960,0,13900,19300,34400,12600,11000,11600,1430,1510,6480,4320,0,0,19400,12200,8210,5030,4370,1090,1580,628,9530,2910,3180,1350,236,9090,0,0,2970,588,134,5080
"Di-n-nonyl phthalate","84-76-4",341,225,315,970,891,191,1320,146,1900,428,0,508,262,267,432,154,702,146,775,294,40.5,450,503,529,382,873,382,382,927,1540,185,104,0,4550,0,67.5,0,235,251,294
"Di-n-octyl phthalate","117-84-0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1120
"Dibenzofuran","132-64-9",0,12.1,0,0,0,25.7,0,0,0,0,0,32.1,0,26.7,0,0,0,22.1,17.6,0,0,0,0,0,19.6,15.8,0,0,0,0,0,0,0,0,0,0,48.6,0,0,0
"Dicyclohexyl phthalate","84-61-7",0,0,0,393,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Diethyl phthalate","84-66-2",36700,341,2180,131,629,259,450,529,989,2140,344,18200,1180,422,0,0,0,378,668,118,756,291,1190,10100,243,846,1060,246,2650,238,741,3630,262,222,237,97.2,67.5,1230,695,206
"Diisobutyl phthalate","84-69-5",1070,786,970,1780,3150,3180,2540,0,2940,4010,2650,5080,1390,2810,540,1300,3510,621,642,294,540,6880,3710,4240,6550,409,3000,628,2910,2490,1300,1220,839,963,300,513,297,294,856,0
"Dimethyl phthalate","131-11-3",0,0,0,0,0,0,344,0,0,104,0,0,0,0,0,0,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,805,139,0,0,0,0,0,0,0
"Diphenylamine","122-39-4",26.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4,0,0,0,0,0,0,0,28.6,0,0,0,0,0,0,0,0
"Ethylene brassylate","105-95-3",655,0,419,0,3930,0,0,0,989,0,821,0,0,0,0,1130,0,0,0,0,756,291,371,794,0,0,709,0,1540,0,609,5450,0,0,0,0,0,401,0,0
"Exaltolide [15-Pentadecanolide]","106-02-5",0,0,0,0,0,1060,741,1300,856,535,0,2670,0,1270,0,918,540,0,0,0,0,0,0,0,0,0,0,0,0,821,0,2130,0,3210,0,0,0,0,749,0
"Fluoranthene","206-44-0",0,0,0,0,0,0,164,148,0,0,0,374,152,313,72.9,259,197,0,134,201,297,132,193,159,221,54.6,188,153,259,167,230,187,204,0,186,0,205,13.1,85.6,267
"Fluorene","86-73-7",12.1,9.44,11.3,0,31.5,0,0,0,13.9,23.8,0,19.3,0,0,0,0,0,13.8,0,11.2,11.3,0,0,0,17.2,0,0,12.8,0,0,0,21.3,0,0,0,0,29.7,0,0,0
"Galaxolide","1222-05-5",341,36.7,78.6,41.9,315,262,318,0,206,136,1590,158,102,0,97.2,567,0,0,535,0,999,15.4,0,0,0,92.8,183,0,424,71.5,450,1690,0,90.9,0,48.6,0,267,32.1,235
"Indeno[1,2,3-cd]pyrene","193-39-5",0,0,0,0,0,0,0,0,0,0,47.7,0,0,0,15.9,0,0,0,0,18.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lilial","80-54-6",121,0,0,0,577,0,0,71.5,56.1,0,344,0,118,0,0,351,0,0,0,0,0,0,0,82.1,0,0,123,0,154,0,106,0,0,61.5,0,0,0,112,0,0
"Linalool","78-70-6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.4,0,0,0,0,0,0,0
"Musk amberette","83-66-9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Musk Ketone","81-14-1",341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Naphthalene","91-20-3",14.7,6.82,13.4,8.39,18.1,15.9,13.8,39.7,15.2,16.3,15.9,17.1,9.17,42.2,13,17.6,12.2,18.6,15.2,9.09,8.91,5.29,10.6,10.1,32.7,24.6,15.3,9.55,10.1,0,0,10.4,4.72,17.9,10.9,7.29,10.5,0,9.09,6.68
"Permethrin","52645-53-1",760,498,131,1070,550,140,371,63.5,1740,615,344,267,168,0,170,270,219,56.7,0,120,75.6,95.3,98,0,764,573,115,49.1,1270,230,503,1710,1340,195,0,83.7,0,9090,107,1180
"Permethrin II","999046-03-6",0,260,0,1050,0,0,0,0,0,0,0,0,0,739,0,0,0,0,150,0,0,0,191,95.3,40900,0,0,0,0,0,0,0,0,374,191,0,62.1,0,0,2330
"Phenanthrene","85-01-8",173,0,115,31.5,446,0,0,0,0,0,0,0,0,0,0,0,146,0,0,152,138,0,0,138,164,123,0,0,0,0,0,0,0,0,172,0,246,0,0,0
"Phthalimide","85-41-6",0,0,0,68.2,118,0,371,0,0,0,98,0,472,0,43.2,0,267,0,0,131,0,180,0,0,409,0,491,0,148,146,140,83.1,0,0,49.1,0,162,118,48.1,0
"Piperonyl butoxide","51-03-6",0,0,62.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pyrene","129-00-0",189,113,99.6,94.4,524,172,191,130,193,321,291,348,147,260,162,232,178,165,112,176,270,119,175,164,202,0,175,134,246,138,206,195,186,209,145,81,184,40.1,80.2,219
"Sudan I","842-07-9",0,55,0,86.5,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.2,0,0,0,0,0,0,0,0,0,0,0
"Sulfur (S8)","10544-50-0",0,0,0,81.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCPP","26248-87-3",0,0,0,0,0,0,0,0,0,0,0,0,0,91.5,0,0,0,0,0,0,0,0,0,0,27.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tonalide","1506-02-1",524,76,36.7,0,31.5,50.3,34.4,0,58.8,90.9,0,24.1,0,0,0,78.3,17.8,70.2,34.8,112,0,0,22,45,27.3,183,153,32.7,34.4,0,58.2,675,0,0,0,0,0,0,0,171
"TPP","115-86-6",0,0,31.5,68.2,393,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,75.6,0,31.8,0,38.2,25.1,0,0,0,0,0,0,0,136,186,0,0,0,0,0
"Transfluthrin","118712-89-3",0,0,0,0,0,0,0,0,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Triclosan","3380-34-5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Triphenylene","217-59-4",0,7.86,21.8,14.4,31.5,0,74.1,0,0,82.9,31.8,0,70.8,56.3,0,0,23.2,0,0,29.4,51.3,11.1,25.7,15.4,30,30,79.1,0,0,50.3,25.7,0,60.3,0,0,0,0,0,0,0
"Tris(2-ethylhexyl) phosphate","78-42-2",0,0,0,0,0,0,0,0,0,0,0,722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
