"Chemical","CASRN","UNV001","UNV002","UNV003","UNV004","UNV005","UNV006","UNV007","UNV008","UNV009","UNV010"
"Lilial","80-54-6",178,231,2010,446,297,3740,490,148,1070,592
"Linalool","78-70-6",0,0,1240,40.3,255,1390,0,0,0,0
"Musk Ketone","81-14-1",0,0,0,0,0,0,0,0,2520,0
"N,N-Diethyl-m-toluamide","134-62-3",0,81.9,3250,80.6,0,1740,282,33000,399,178
"Oxyfluorfen","42874-03-3",0,0,0,0,0,0,0,0,94.5,0
"PBDE 47","5436-43-1",0,0,385,0,48.8,0,267,0,0,0
"Pendimethalin","40487-42-1",0,0,0,0,0,0,0,0,1010,0
"Permethrin","52645-53-1",0,0,101,0,0,0,0,41.2,0,799
"Phenanthrene","85-01-8",0,0,0,0,0,0,0,10.9,0,0
"Phenothrin I","51186-88-0",0,176,0,0,0,0,0,0,0,0
"Phthalimide","85-41-6",125,0,0,0,0,0,0,0,0,0
"Piperonyl butoxide","51-03-6",0,0,0,0,0,126,0,0,0,0
"Pyrene","129-00-0",0,0,0,2.12,0,0,0,0,37.8,0
"Pyridaben","96489-71-3",2040,0,0,0,0,0,0,0,0,0
"Retene","483-65-8",0,0,0,0,0,0,0,0,13.2,0
"TCPP","26248-87-3",0,0,0,55.2,93.4,0,0,371,0,0
"Tebuconazole","107534-96-3",0,0,0,0,0,0,0,453,0,0
"Tetrahydrophthalimide, cis-1,2,3,6-","27813-21-4",4030,0,0,0,0,0,0,0,0,0
"Thymol","89-83-8",34,0,0,0,0,0,0,0,0,0
"Tilt","60207-90-1",0,0,0,0,276,0,0,0,0,0
"Tonalide","1506-02-1",53.1,79.8,231,34,212,198,36.9,173,252,136
"TPP","115-86-6",110,143,0,31.8,38.2,20.9,6400,138,0,254
"Tributyl phosphate","126-73-8",0,0,0,0,0,0,294,0,0,0
"Triclosan","3380-34-5",0,0,0,0,0,144,0,0,0,0
"Tricresylphosphate, meta-","563-04-2",0,0,0,70,84.9,0,0,0,0,0
"Trifloxystrobin","141517-21-7",2760,0,0,0,0,0,0,0,0,0
