"SampleNumber","ParameterName","Result"
"A241248","B-citronellol",38.8
"A241253","B-citronellol",25.1
"A241263","B-citronellol",238
"A241140","Coumarin",185
"A241161","Coumarin",102
"A241182","Coumarin",66.9
"A241191","Coumarin",99.3
"A241213","Coumarin",124
"A241219","Coumarin",42.4
"A241229","Coumarin",34.7
"A241232","Coumarin",65.5
"A241259","Coumarin",455
"A241263","Coumarin",159
"A241269","Coumarin",22.3
"A241139","Citral A",10.2
"A241144","Citral A",54.2
"A241181","Citral A",45.5
"A241186","Citral A",71.3
"A241209","Citral A",86.7
"A241215","Citral A",82.1
"A241219","Citral A",73.3
"A241230","Citral A",91.1
"A241238","Citral A",328
"A241254","Citral A",61.9
"A241161","Anisyl alcohol",28.6
"A241230","Benzyl cinnamate",317
"A241156","Amyl cinnamal",36.1
"A241164","Amyl cinnamal",36.2
"A241198","Amyl cinnamal",587
"A241209","Amyl cinnamal",21.3
"A241213","Amyl cinnamal",160
"A241229","Amyl cinnamal",43.4
"A241232","Amyl cinnamal",361
"A241269","Amyl cinnamal",17.8
"A241140","B-Ionone",74.5
"A241144","B-Ionone",39.7
"A241161","B-Ionone",223
"A241181","B-Ionone",41.7
"A241182","B-Ionone",314
"A241194","B-Ionone",61.1
"A241196","B-Ionone",714
"A241198","B-Ionone",144
"A241201","B-Ionone",187
"A241217","B-Ionone",98
"A241232","B-Ionone",60.9
"A241238","B-Ionone",2870
"A241259","B-Ionone",85.4
"A241263","B-Ionone",270
"A241144","A-Ionone",83.1
"A241191","A-Ionone",316
"A241238","A-Ionone",63.6
"A241161","Geraniol",223
"A241133","Benzyl salicylate",248
"A241134","Benzyl salicylate",202
"A241139","Benzyl salicylate",62.7
"A241140","Benzyl salicylate",1020
"A241142","Benzyl salicylate",440
"A241144","Benzyl salicylate",2890
"A241147","Benzyl salicylate",11.4
"A241149","Benzyl salicylate",30.3
"A241151","Benzyl salicylate",106
"A241155","Benzyl salicylate",90.7
"A241156","Benzyl salicylate",2710
"A241158","Benzyl salicylate",47.9
"A241161","Benzyl salicylate",588
"A241163","Benzyl salicylate",244
"A241164","Benzyl salicylate",896
"A241166","Benzyl salicylate",205
"A241168","Benzyl salicylate",339
"A241170","Benzyl salicylate",31.6
"A241173","Benzyl salicylate",61.6
"A241177","Benzyl salicylate",7.52
"A241181","Benzyl salicylate",3980
"A241182","Benzyl salicylate",1920
"A241186","Benzyl salicylate",107
"A241188","Benzyl salicylate",677
"A241191","Benzyl salicylate",361
"A241192","Benzyl salicylate",14.3
"A241194","Benzyl salicylate",849
"A241196","Benzyl salicylate",1200
"A241198","Benzyl salicylate",1060
"A241201","Benzyl salicylate",967
"A241203","Benzyl salicylate",95.9
"A241207","Benzyl salicylate",361
"A241209","Benzyl salicylate",180
"A241213","Benzyl salicylate",2080
"A241215","Benzyl salicylate",4720
"A241217","Benzyl salicylate",1220
"A241219","Benzyl salicylate",19.3
"A241221","Benzyl salicylate",16.4
"A241222","Benzyl salicylate",47.2
"A241224","Benzyl salicylate",80.2
"A241229","Benzyl salicylate",239
"A241230","Benzyl salicylate",160
"A241232","Benzyl salicylate",271
"A241235","Benzyl salicylate",3220
"A241236","Benzyl salicylate",301
"A241238","Benzyl salicylate",923
"A241242","Benzyl salicylate",152
"A241245","Benzyl salicylate",77.7
"A241246","Benzyl salicylate",17.2
"A241248","Benzyl salicylate",263
"A241256","Benzyl salicylate",96.7
"A241259","Benzyl salicylate",948
"A241260","Benzyl salicylate",309
"A241263","Benzyl salicylate",11300
"A241264","Benzyl salicylate",170
"A241266","Benzyl salicylate",397
"A241269","Benzyl salicylate",193
"A241270","Benzyl salicylate",18.3
"A241273","Benzyl salicylate",86.5
"A241188","Hydroxy-citronellal",35.2
"A241140","Cinnamal",31.6
"A241155","Cinnamal",22.1
"A241191","Cinnamal",24.8
"A241196","Cinnamal",17.2
"A241209","Cinnamal",27.8
"A241144","Lilial",488
"A241156","Lilial",106
"A241161","Lilial",146
"A241163","Lilial",19.5
"A241164","Lilial",63.8
"A241166","Lilial",205
"A241181","Lilial",89.2
"A241182","Lilial",157
"A241184","Lilial",13.3
"A241191","Lilial",33.9
"A241194","Lilial",50.9
"A241198","Lilial",45.1
"A241201","Lilial",424
"A241207","Lilial",57.8
"A241209","Lilial",29.4
"A241213","Lilial",60.9
"A241215","Lilial",226
"A241217","Lilial",245
"A241229","Lilial",156
"A241232","Lilial",83.5
"A241242","Lilial",29.1
"A241248","Lilial",34.6
"A241259","Lilial",60.7
"A241263","Lilial",175
"A241264","Lilial",45.8
"A241269","Lilial",53.5
"A241273","Lilial",205
"A241191","Butylated hydroxytoluene",293
"A241196","Butylated hydroxytoluene",46.3
"A241209","Bisphenol AF",40.9
"A241133","2,4-Bis(alpha,alpha-dimethylbenzyl)phenol",45.1
"A241134","2,4-Bis(alpha,alpha-dimethylbenzyl)phenol",8.08
"A241139","2,4-Bis(alpha,alpha-dimethylbenzyl)phenol",8.99
"A241151","2,4-Bis(alpha,alpha-dimethylbenzyl)phenol",63.9
"A241153","2,4-Bis(alpha,alpha-dimethylbenzyl)phenol",6.85
"A241155","2,4-Bis(alpha,alpha-dimethylbenzyl)phenol",15.5
"A241156","2,4-Bis(alpha,alpha-dimethylbenzyl)phenol",15.6
"A241168","2,4-Bis(alpha,alpha-dimethylbenzyl)phenol",40.6
"A241177","2,4-Bis(alpha,alpha-dimethylbenzyl)phenol",5.64
"A241179","2,4-Bis(alpha,alpha-dimethylbenzyl)phenol",9.26
"A241188","2,4-Bis(alpha,alpha-dimethylbenzyl)phenol",11.7
"A241192","2,4-Bis(alpha,alpha-dimethylbenzyl)phenol",14.6
"A241198","2,4-Bis(alpha,alpha-dimethylbenzyl)phenol",18.7
"A241201","2,4-Bis(alpha,alpha-dimethylbenzyl)phenol",11.2
"A241211","2,4-Bis(alpha,alpha-dimethylbenzyl)phenol",11.6
"A241221","2,4-Bis(alpha,alpha-dimethylbenzyl)phenol",7.52
"A241226","2,4-Bis(alpha,alpha-dimethylbenzyl)phenol",10.6
"A241229","2,4-Bis(alpha,alpha-dimethylbenzyl)phenol",18.9
"A241236","2,4-Bis(alpha,alpha-dimethylbenzyl)phenol",23.6
"A241245","2,4-Bis(alpha,alpha-dimethylbenzyl)phenol",4.98
"A241263","2,4-Bis(alpha,alpha-dimethylbenzyl)phenol",107
"A241264","2,4-Bis(alpha,alpha-dimethylbenzyl)phenol",42.4
"A241270","2,4-Bis(alpha,alpha-dimethylbenzyl)phenol",21.9
"A241273","2,4-Bis(alpha,alpha-dimethylbenzyl)phenol",11.7
"A241133","2,4-Di-tert-butylphenol",76.7
"A241134","2,4-Di-tert-butylphenol",56.9
"A241137","2,4-Di-tert-butylphenol",133
"A241139","2,4-Di-tert-butylphenol",96.1
"A241140","2,4-Di-tert-butylphenol",176
"A241142","2,4-Di-tert-butylphenol",97.3
"A241144","2,4-Di-tert-butylphenol",110
"A241147","2,4-Di-tert-butylphenol",92.8
"A241149","2,4-Di-tert-butylphenol",44.1
"A241153","2,4-Di-tert-butylphenol",24.1
"A241155","2,4-Di-tert-butylphenol",122
"A241156","2,4-Di-tert-butylphenol",108
"A241161","2,4-Di-tert-butylphenol",2.07
"A241163","2,4-Di-tert-butylphenol",31.7
"A241164","2,4-Di-tert-butylphenol",43.1
"A241168","2,4-Di-tert-butylphenol",90.3
"A241170","2,4-Di-tert-butylphenol",7.37
"A241173","2,4-Di-tert-butylphenol",98.5
"A241175","2,4-Di-tert-butylphenol",176
"A241177","2,4-Di-tert-butylphenol",27.8
"A241179","2,4-Di-tert-butylphenol",75.2
"A241181","2,4-Di-tert-butylphenol",135
"A241182","2,4-Di-tert-butylphenol",150
"A241184","2,4-Di-tert-butylphenol",65.3
"A241186","2,4-Di-tert-butylphenol",91.9
"A241188","2,4-Di-tert-butylphenol",14.4
"A241191","2,4-Di-tert-butylphenol",0.45
"A241192","2,4-Di-tert-butylphenol",65
"A241194","2,4-Di-tert-butylphenol",32.2
"A241196","2,4-Di-tert-butylphenol",139
"A241198","2,4-Di-tert-butylphenol",20.3
"A241201","2,4-Di-tert-butylphenol",45.8
"A241203","2,4-Di-tert-butylphenol",14.2
"A241205","2,4-Di-tert-butylphenol",18.9
"A241207","2,4-Di-tert-butylphenol",12.3
"A241209","2,4-Di-tert-butylphenol",45.8
"A241211","2,4-Di-tert-butylphenol",36
"A241213","2,4-Di-tert-butylphenol",70
"A241215","2,4-Di-tert-butylphenol",57.5
"A241217","2,4-Di-tert-butylphenol",64.7
"A241219","2,4-Di-tert-butylphenol",125
"A241221","2,4-Di-tert-butylphenol",55.3
"A241222","2,4-Di-tert-butylphenol",42
"A241224","2,4-Di-tert-butylphenol",4.91
"A241229","2,4-Di-tert-butylphenol",0.65
"A241230","2,4-Di-tert-butylphenol",27.7
"A241232","2,4-Di-tert-butylphenol",142
"A241235","2,4-Di-tert-butylphenol",32.2
"A241236","2,4-Di-tert-butylphenol",9.46
"A241238","2,4-Di-tert-butylphenol",41
"A241241","2,4-Di-tert-butylphenol",5.76
"A241242","2,4-Di-tert-butylphenol",4.29
"A241245","2,4-Di-tert-butylphenol",8.5
"A241246","2,4-Di-tert-butylphenol",76.5
"A241248","2,4-Di-tert-butylphenol",16.6
"A241250","2,4-Di-tert-butylphenol",14.8
"A241253","2,4-Di-tert-butylphenol",21.2
"A241254","2,4-Di-tert-butylphenol",43.9
"A241256","2,4-Di-tert-butylphenol",20.5
"A241259","2,4-Di-tert-butylphenol",75.9
"A241260","2,4-Di-tert-butylphenol",34.8
"A241263","2,4-Di-tert-butylphenol",22.3
"A241264","2,4-Di-tert-butylphenol",22.1
"A241269","2,4-Di-tert-butylphenol",4.31
"A241266","2-Isopropylphenol",83.1
"A241191","4-Chloro-3,5-dimethylphenol",29.3
"A241203","4-Chloro-3,5-dimethylphenol",156
"A241235","4-Chloro-3,5-dimethylphenol",22.6
"A241238","4-Chloro-3,5-dimethylphenol",51.3
"A241213","4-Methoxyphenol",38.4
"A241263","4-Methoxyphenol",31.8
"A241137","4-Tert-butylphenol",63.2
"A241184","4-Tert-butylphenol",465
"A241213","4-Tert-butylphenol",767
"A241263","4-Tert-butylphenol",572
"A241134","Benzothiazole",42.2
"A241137","Benzothiazole",40.6
"A241139","Benzothiazole",56.4
"A241142","Benzothiazole",69.7
"A241147","Benzothiazole",40.2
"A241149","Benzothiazole",50.4
"A241153","Benzothiazole",20.4
"A241155","Benzothiazole",108
"A241156","Benzothiazole",519
"A241158","Benzothiazole",91.9
"A241164","Benzothiazole",39.6
"A241166","Benzothiazole",45.1
"A241168","Benzothiazole",124
"A241170","Benzothiazole",15
"A241173","Benzothiazole",92.3
"A241177","Benzothiazole",19.6
"A241179","Benzothiazole",25.1
"A241181","Benzothiazole",30.4
"A241191","Benzothiazole",49.7
"A241192","Benzothiazole",66.8
"A241196","Benzothiazole",94.5
"A241198","Benzothiazole",97.1
"A241201","Benzothiazole",30.6
"A241207","Benzothiazole",47
"A241211","Benzothiazole",52.3
"A241219","Benzothiazole",57.9
"A241221","Benzothiazole",70.8
"A241229","Benzothiazole",217
"A241232","Benzothiazole",31.6
"A241246","Benzothiazole",39.2
"A241248","Benzothiazole",45.7
"A241250","Benzothiazole",79
"A241253","Benzothiazole",77.2
"A241256","Benzothiazole",22
"A241264","Benzothiazole",102
"A241266","Benzothiazole",54.2
"A241270","Benzothiazole",72.2
"A241156","2-Benzothiazolyl sulfide",65.5
"A241238","Citral B",328
"A241133","Di-n-butyl phthalate",429
"A241134","Di-n-butyl phthalate",661
"A241137","Di-n-butyl phthalate",451
"A241139","Di-n-butyl phthalate",155
"A241140","Di-n-butyl phthalate",677
"A241142","Di-n-butyl phthalate",716
"A241144","Di-n-butyl phthalate",1810
"A241147","Di-n-butyl phthalate",309
"A241149","Di-n-butyl phthalate",555
"A241151","Di-n-butyl phthalate",360
"A241153","Di-n-butyl phthalate",315
"A241155","Di-n-butyl phthalate",1040
"A241156","Di-n-butyl phthalate",406
"A241158","Di-n-butyl phthalate",118
"A241161","Di-n-butyl phthalate",509
"A241163","Di-n-butyl phthalate",512
"A241164","Di-n-butyl phthalate",345
"A241166","Di-n-butyl phthalate",117
"A241168","Di-n-butyl phthalate",790
"A241170","Di-n-butyl phthalate",248
"A241173","Di-n-butyl phthalate",431
"A241175","Di-n-butyl phthalate",722
"A241177","Di-n-butyl phthalate",369
"A241179","Di-n-butyl phthalate",328
"A241181","Di-n-butyl phthalate",493
"A241182","Di-n-butyl phthalate",1460
"A241184","Di-n-butyl phthalate",808
"A241186","Di-n-butyl phthalate",2050
"A241188","Di-n-butyl phthalate",253
"A241191","Di-n-butyl phthalate",226
"A241192","Di-n-butyl phthalate",451
"A241194","Di-n-butyl phthalate",1020
"A241196","Di-n-butyl phthalate",2120
"A241198","Di-n-butyl phthalate",745
"A241201","Di-n-butyl phthalate",1660
"A241203","Di-n-butyl phthalate",380
"A241205","Di-n-butyl phthalate",1010
"A241207","Di-n-butyl phthalate",614
"A241209","Di-n-butyl phthalate",7520
"A241211","Di-n-butyl phthalate",327
"A241213","Di-n-butyl phthalate",1580
"A241215","Di-n-butyl phthalate",513
"A241217","Di-n-butyl phthalate",1220
"A241219","Di-n-butyl phthalate",1020
"A241221","Di-n-butyl phthalate",288
"A241222","Di-n-butyl phthalate",227
"A241224","Di-n-butyl phthalate",638
"A241226","Di-n-butyl phthalate",24.8
"A241229","Di-n-butyl phthalate",760
"A241230","Di-n-butyl phthalate",1370
"A241232","Di-n-butyl phthalate",993
"A241235","Di-n-butyl phthalate",758
"A241236","Di-n-butyl phthalate",709
"A241238","Di-n-butyl phthalate",199
"A241241","Di-n-butyl phthalate",599
"A241242","Di-n-butyl phthalate",914
"A241245","Di-n-butyl phthalate",337
"A241246","Di-n-butyl phthalate",298
"A241248","Di-n-butyl phthalate",457
"A241250","Di-n-butyl phthalate",564
"A241253","Di-n-butyl phthalate",926
"A241254","Di-n-butyl phthalate",360
"A241256","Di-n-butyl phthalate",308
"A241259","Di-n-butyl phthalate",1210
"A241260","Di-n-butyl phthalate",340
"A241263","Di-n-butyl phthalate",2860
"A241264","Di-n-butyl phthalate",1700
"A241266","Di-n-butyl phthalate",506
"A241269","Di-n-butyl phthalate",238
"A241270","Di-n-butyl phthalate",677
"A241273","Di-n-butyl phthalate",469
"A241273","Di-n-octyl phthalate",1760
"A241133","Diethyl phthalate",167
"A241134","Diethyl phthalate",202
"A241137","Diethyl phthalate",58.7
"A241139","Diethyl phthalate",136
"A241140","Diethyl phthalate",4510
"A241142","Diethyl phthalate",160
"A241144","Diethyl phthalate",560
"A241147","Diethyl phthalate",94.3
"A241149","Diethyl phthalate",79.4
"A241151","Diethyl phthalate",360
"A241153","Diethyl phthalate",73.1
"A241155","Diethyl phthalate",288
"A241156","Diethyl phthalate",993
"A241158","Diethyl phthalate",2600
"A241161","Diethyl phthalate",604
"A241163","Diethyl phthalate",268
"A241164","Diethyl phthalate",1520
"A241166","Diethyl phthalate",63.6
"A241168","Diethyl phthalate",99.3
"A241170","Diethyl phthalate",27.8
"A241173","Diethyl phthalate",390
"A241175","Diethyl phthalate",129
"A241177","Diethyl phthalate",64.7
"A241179","Diethyl phthalate",100
"A241181","Diethyl phthalate",228
"A241182","Diethyl phthalate",188
"A241184","Diethyl phthalate",221
"A241186","Diethyl phthalate",293
"A241188","Diethyl phthalate",117
"A241191","Diethyl phthalate",187
"A241192","Diethyl phthalate",271
"A241194","Diethyl phthalate",146
"A241196","Diethyl phthalate",347
"A241198","Diethyl phthalate",767
"A241201","Diethyl phthalate",713
"A241203","Diethyl phthalate",116
"A241205","Diethyl phthalate",216
"A241207","Diethyl phthalate",181
"A241209","Diethyl phthalate",360
"A241211","Diethyl phthalate",116
"A241213","Diethyl phthalate",745
"A241215","Diethyl phthalate",69.8
"A241217","Diethyl phthalate",150
"A241219","Diethyl phthalate",270
"A241221","Diethyl phthalate",102
"A241222","Diethyl phthalate",192
"A241224","Diethyl phthalate",180
"A241229","Diethyl phthalate",738
"A241230","Diethyl phthalate",475
"A241232","Diethyl phthalate",271
"A241235","Diethyl phthalate",339
"A241236","Diethyl phthalate",88.1
"A241238","Diethyl phthalate",84.1
"A241242","Diethyl phthalate",55.4
"A241245","Diethyl phthalate",220
"A241246","Diethyl phthalate",179
"A241248","Diethyl phthalate",126
"A241250","Diethyl phthalate",102
"A241253","Diethyl phthalate",540
"A241254","Diethyl phthalate",53.9
"A241256","Diethyl phthalate",264
"A241259","Diethyl phthalate",2660
"A241260","Diethyl phthalate",224
"A241263","Diethyl phthalate",98.6
"A241264","Diethyl phthalate",170
"A241266","Diethyl phthalate",235
"A241269","Diethyl phthalate",93.6
"A241270","Diethyl phthalate",153
"A241273","Diethyl phthalate",293
"A241194","Fluoranthene",10.4
"A241201","Fluoranthene",11.7
"A241235","Fluoranthene",2.1
"A241259","Fluoranthene",7.59
"A241137","Fluorene",4.97
"A241139","Fluorene",2.09
"A241194","Fluorene",9
"A241201","Fluorene",11.2
"A241235","Fluorene",9.84
"A241259","Fluorene",22.8
"A241273","Fluorene",4.4
"A241209","Gamma-Chlordane",16.4
"A241158","Naphthalene",11.8
"A241194","Naphthalene",16.6
"A241198","Naphthalene",16.9
"A241201","Naphthalene",14.4
"A241205","Naphthalene",9.06
"A241211","Naphthalene",12.3
"A241230","Naphthalene",49.5
"A241232","Naphthalene",54.2
"A241253","Naphthalene",10
"A241264","Naphthalene",187
"A241273","Naphthalene",5.28
"A241144","Phenanthrene",32.5
"A241164","Phenanthrene",29.3
"A241194","Phenanthrene",42.4
"A241230","Phenanthrene",15.4
"A241259","Phenanthrene",83.5
"A241144","Pyrene",14.1
"A241153","Pyrene",5.74
"A241235","Pyrene",10.3
"A241259","Pyrene",20.9
"A241260","Pyrene",19.3
"A241134","1-Methylnaphthalene",2.94
"A241139","1-Methylnaphthalene",4.18
"A241140","1-Methylnaphthalene",4.06
"A241144","1-Methylnaphthalene",3.61
"A241147","1-Methylnaphthalene",1.55
"A241151","1-Methylnaphthalene",6.79
"A241156","1-Methylnaphthalene",2.48
"A241158","1-Methylnaphthalene",5.99
"A241164","1-Methylnaphthalene",2.24
"A241168","1-Methylnaphthalene",4.51
"A241179","1-Methylnaphthalene",1.93
"A241181","1-Methylnaphthalene",2.28
"A241182","1-Methylnaphthalene",2.93
"A241188","1-Methylnaphthalene",0.9
"A241191","1-Methylnaphthalene",4.29
"A241194","1-Methylnaphthalene",10.9
"A241196","1-Methylnaphthalene",5.4
"A241198","1-Methylnaphthalene",4.74
"A241201","1-Methylnaphthalene",9.17
"A241205","1-Methylnaphthalene",1.89
"A241207","1-Methylnaphthalene",1.63
"A241211","1-Methylnaphthalene",3.6
"A241213","1-Methylnaphthalene",9.03
"A241217","1-Methylnaphthalene",2.27
"A241219","1-Methylnaphthalene",2.7
"A241221","1-Methylnaphthalene",2.66
"A241226","1-Methylnaphthalene",3.39
"A241229","1-Methylnaphthalene",3.69
"A241230","1-Methylnaphthalene",2.77
"A241232","1-Methylnaphthalene",2.03
"A241235","1-Methylnaphthalene",7.58
"A241245","1-Methylnaphthalene",1.32
"A241246","1-Methylnaphthalene",1.31
"A241250","1-Methylnaphthalene",3.06
"A241253","1-Methylnaphthalene",3.09
"A241256","1-Methylnaphthalene",1.61
"A241259","1-Methylnaphthalene",8.92
"A241266","1-Methylnaphthalene",2.53
"A241270","1-Methylnaphthalene",4.74
"A241273","1-Methylnaphthalene",3.66
"A241144","Dimethyl phthalate",57.8
"A241147","Dimethyl phthalate",57.2
"A241155","Dimethyl phthalate",124
"A241158","Dimethyl phthalate",42
"A241168","Dimethyl phthalate",60.9
"A241196","Dimethyl phthalate",174
"A241219","Dimethyl phthalate",79.1
"A241230","Dimethyl phthalate",7.92
"A241250","Dimethyl phthalate",113
"A241253","Dimethyl phthalate",38.6
"A241260","Dimethyl phthalate",77.3
"A241264","Dimethyl phthalate",50.9
"A241270","Dimethyl phthalate",36.1
"A241142","Permethrin",42.2
"A241144","Permethrin",50.6
"A241149","Permethrin",139
"A241155","Permethrin",28.8
"A241186","Permethrin",28.3
"A241188","Permethrin",89.4
"A241205","Permethrin",134
"A241209","Permethrin",589
"A241211","Permethrin",45.8
"A241215","Permethrin",71.8
"A241229","Permethrin",28.2
"A241232","Permethrin",135
"A241246","Permethrin",29.8
"A241250","Permethrin",62.9
