"SampleNumber","ParameterName","Result"
"A241241","Bis(2-ethylhexyl)phthalate",16800
"A241242","Bis(2-ethylhexyl)phthalate",4150
"A241245","Bis(2-ethylhexyl)phthalate",997
"A241246","Bis(2-ethylhexyl)phthalate",9510
"A241248","Bis(2-ethylhexyl)phthalate",47.1
"A241250","Bis(2-ethylhexyl)phthalate",10800
"A241253","Bis(2-ethylhexyl)phthalate",75.2
"A241254","Bis(2-ethylhexyl)phthalate",16400
"A241256","Bis(2-ethylhexyl)phthalate",440
"A241259","Bis(2-ethylhexyl)phthalate",7970
"A241263","Bis(2-ethylhexyl)phthalate",3820
"A241264","Bis(2-ethylhexyl)phthalate",4240
"A241266","Bis(2-ethylhexyl)phthalate",3070
"A241269","Bis(2-ethylhexyl)phthalate",4010
"A241270","Bis(2-ethylhexyl)phthalate",8130
"A241273","Bis(2-ethylhexyl)phthalate",13600
"A241149","1,6-Dimethylnaphthalene",2.65
"A241211","1,6-Dimethylnaphthalene",3.93
"A241151","1,2-Dimethylnaphthalene",7.79
"A241205","1,2-Dimethylnaphthalene",3.78
"A241211","1,2-Dimethylnaphthalene",4.74
"A241149","2-Methylphenanthrene",3.78
"A241175","2-Methylphenanthrene",15.6
"A241175","1-Methylpyrene",13.3
"A241140","N,N-Diethyl-m-toluamide",1490
"A241142","N,N-Diethyl-m-toluamide",202
"A241144","N,N-Diethyl-m-toluamide",3430
"A241147","N,N-Diethyl-m-toluamide",148
"A241149","N,N-Diethyl-m-toluamide",227
"A241151","N,N-Diethyl-m-toluamide",12400
"A241158","N,N-Diethyl-m-toluamide",106
"A241161","N,N-Diethyl-m-toluamide",90.6
"A241164","N,N-Diethyl-m-toluamide",862
"A241166","N,N-Diethyl-m-toluamide",36.9
"A241168","N,N-Diethyl-m-toluamide",194
"A241173","N,N-Diethyl-m-toluamide",349
"A241179","N,N-Diethyl-m-toluamide",12.3
"A241181","N,N-Diethyl-m-toluamide",83.5
"A241182","N,N-Diethyl-m-toluamide",397
"A241184","N,N-Diethyl-m-toluamide",299
"A241188","N,N-Diethyl-m-toluamide",135
"A241196","N,N-Diethyl-m-toluamide",83
"A241201","N,N-Diethyl-m-toluamide",86.6
"A241203","N,N-Diethyl-m-toluamide",71.9
"A241205","N,N-Diethyl-m-toluamide",68.9
"A241209","N,N-Diethyl-m-toluamide",311
"A241211","N,N-Diethyl-m-toluamide",29.4
"A241215","N,N-Diethyl-m-toluamide",1660
"A241217","N,N-Diethyl-m-toluamide",68.2
"A241219","N,N-Diethyl-m-toluamide",149
"A241224","N,N-Diethyl-m-toluamide",29.4
"A241229","N,N-Diethyl-m-toluamide",78.1
"A241232","N,N-Diethyl-m-toluamide",156
"A241235","N,N-Diethyl-m-toluamide",322
"A241245","N,N-Diethyl-m-toluamide",19.1
"A241246","N,N-Diethyl-m-toluamide",522
"A241248","N,N-Diethyl-m-toluamide",38.8
"A241250","N,N-Diethyl-m-toluamide",77.4
"A241253","N,N-Diethyl-m-toluamide",13.9
"A241254","N,N-Diethyl-m-toluamide",17
"A241256","N,N-Diethyl-m-toluamide",20.5
"A241259","N,N-Diethyl-m-toluamide",81.6
"A241260","N,N-Diethyl-m-toluamide",22.4
"A241263","N,N-Diethyl-m-toluamide",111
"A241264","N,N-Diethyl-m-toluamide",204
"A241266","N,N-Diethyl-m-toluamide",75.8
"A241270","N,N-Diethyl-m-toluamide",18.1
"A241273","N,N-Diethyl-m-toluamide",79.2
"A241151","2,6-Dimethylnaphthalene",9.59
"A241201","2,6-Dimethylnaphthalene",2.55
"A241266","2,6-Dimethylnaphthalene",2.35
"A241209","O-Phenylphenol",26.2
"A241133","Benzophenone",212
"A241134","Benzophenone",55.1
"A241137","Benzophenone",45.1
"A241139","Benzophenone",37.6
"A241140","Benzophenone",221
"A241142","Benzophenone",58.7
"A241144","Benzophenone",97.5
"A241147","Benzophenone",29.4
"A241149","Benzophenone",35.3
"A241151","Benzophenone",59.9
"A241153","Benzophenone",51.8
"A241155","Benzophenone",99.6
"A241158","Benzophenone",42
"A241161","Benzophenone",68.4
"A241163","Benzophenone",26.8
"A241164","Benzophenone",53.4
"A241166","Benzophenone",16.8
"A241168","Benzophenone",120
"A241170","Benzophenone",9.78
"A241173","Benzophenone",59.5
"A241175","Benzophenone",248
"A241177","Benzophenone",18.1
"A241179","Benzophenone",30.9
"A241181","Benzophenone",56.9
"A241184","Benzophenone",133
"A241186","Benzophenone",86
"A241188","Benzophenone",46
"A241192","Benzophenone",81.3
"A241194","Benzophenone",59.4
"A241196","Benzophenone",193
"A241198","Benzophenone",655
"A241201","Benzophenone",49.2
"A241203","Benzophenone",47.9
"A241205","Benzophenone",243
"A241207","Benzophenone",39.7
"A241209","Benzophenone",294
"A241211","Benzophenone",45.8
"A241213","Benzophenone",113
"A241215","Benzophenone",59.5
"A241217","Benzophenone",29.7
"A241219","Benzophenone",482
