"Butylated hydroxytoluene","128-37-0",51.6,24.6,465,28.1,67.8,47.9,231,0,21,80.8,0,66.9,89.4,33.2,0,0,0,0,67.3,522,45.7,27.4,2.03,300,0
"Caffeine","58-08-2",0,0,646,0,0,792,882,0,798,0,1400,0,0,645,0,0,0,0,1970,637,0,2560,0,0,0
"Cashmeran","33704-61-9",0,0,58.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0
"Cinnamal","104-55-2",0,0,0,0,0,0,39.9,0,0,0,0,0,0,0,0,0,0,0,37.7,0,0,0,0,88.2,87.4
"Citral A","5392-40-5",0,52.5,0,130,0,0,0,0,0,178,0,138,0,0,356,0,0,0,197,0,54.8,32.9,0,41.3,0
"Coumarin","91-64-5",49.8,0,44.4,0,0,0,71.4,0,54.6,0,0,242,229,0,11.2,0,0,0,0,478,0,102,0,300,333
"Cyclopentadecanone","502-72-7",0,0,0,0,0,0,0,0,0,0,446,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cypermethrin-2","52315-07-8",0,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cypermethrin-3","52315-07-8",0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D-(cis-trans)-Phenothrin-I","26002-80-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291
"Di-n-butyl phthalate","84-74-2",1460,1640,3430,4290,6120,1360,2520,0,1470,2590,3400,4460,6450,2210,2260,3690,666,1640,2790,2320,2190,2560,0,2440,1790
"Di-n-nonyl phthalate","84-76-4",0,46,5250,681,414,1440,0,164,109,158,174,595,562,350,1080,663,0,0,936,522,102,0,0,807,312
"Diethyl phthalate","84-66-2",1330,1480,5050,3250,2810,9950,630,99.3,1640,1940,1380,688,3950,0,1100,25800,131,834,952,1100,1100,1000,62.7,2060,998
"Diisobutyl phthalate","84-69-5",1790,985,1050,2520,21500,885,1490,162,840,0,1800,6690,4370,3130,2590,1810,374,3720,1440,1300,5850,10800,829,2060,2910
"Ethofenprox","80844-07-1",0,0,0,0,0,0,0,0,0,0,764,0,0,0,0,0,0,0,0,0,0,0,0,900,0
"Ethylene brassylate","105-95-3",0,1380,1880,4730,14100,2950,1340,141,7980,711,29700,1020,8320,4610,4200,11400,2080,1640,3940,12700,1570,0,135,2810,3740
"Eugenol","97-53-0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0
"Exaltolide [15-Pentadecanolide]","106-02-5",0,1030,1070,1780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500
"Farnesol IV","4602-84-0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,0,0,0,0,0,0
"Folpet","133-07-3",0,0,0,0,0,0,0,0,0,0,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0
"Galaxolide","1222-05-5",1090,1640,14100,3850,19900,2580,6300,139,7140,3560,3180,3350,6860,2760,5980,18400,312,2830,13600,18800,20100,5660,479,2060,8530
"Hydroxy-citronellal","107-75-5",0,0,0,0,215,424,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,186,0
"Lilial","80-54-6",221,213,131,102,331,90.3,714,24.8,273,87.3,531,2790,978,663,50.1,122,291,283,197,0,548,548,22.1,788,1160
"Linalool","78-70-6",0,0,97,0,0,0,0,0,0,0,72.2,521,104,0,0,82.9,0,611,0,0,0,115,0,206,0
"Musk Ketone","81-14-1",0,0,0,0,0,2030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N,n-diethyl-3-aminophenol","91-68-9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.5
"N,N-Diethyl-m-toluamide","134-62-3",203,67.3,131,0,298,1620,1110,215,378,69.5,29700,0,208,0,1940,424,0,358,558,217,121,157,40.5,2250,333
"Naphthalene","91-20-3",5.16,0,5.86,0,0,0,0,0,0,0,0,0,0,9.77,0,0,0,0,0,0,968,0,0,6.38,0
"Permethrin","52645-53-1",0,0,0,0,0,116,0,0,0,0,0,0,0,0,90.5,0,0,0,0,0,0,0,0,0,0
