ParameterID,Classification
300505,Polycyclic Aromatic Hydrocarbon (PAH)
300604,Pesticide
300605,Pesticide
300628,Pesticide
300629,Polychlorinated Biphenyl
300631,Pesticide
300636,Pesticide
300638,Pesticide
300639,Flame Retardant
300640,Pesticide
300641,Pesticide
300659,Polycyclic Aromatic Hydrocarbon (PAH)
300685,Polycyclic Aromatic Hydrocarbon (PAH)
300698,Polychlorinated Biphenyl
300699,Polychlorinated Biphenyl
300700,Polychlorinated Biphenyl
300701,Polychlorinated Biphenyl
300703,Polychlorinated Biphenyl
300704,Polychlorinated Biphenyl
300705,Polychlorinated Biphenyl
300707,Polychlorinated Biphenyl
300708,Polychlorinated Biphenyl
300711,Flame Retardant
300713,Flame Retardant
300714,Flame Retardant
300715,Flame Retardant
300716,Flame Retardant
300718,Polychlorinated Biphenyl
300719,Polychlorinated Biphenyl
300720,Polychlorinated Biphenyl
300721,Polychlorinated Biphenyl
300722,Polychlorinated Biphenyl
300723,Polychlorinated Biphenyl
300724,Polychlorinated Biphenyl
300725,Polychlorinated Biphenyl
300726,Polychlorinated Biphenyl
300727,Flame Retardant
300728,Flame Retardant
300729,Flame Retardant
300730,Flame Retardant
300731,Flame Retardant
300732,Flame Retardant
300733,Flame Retardant
300734,Flame Retardant
300736,Polychlorinated Biphenyl
300737,Polychlorinated Biphenyl
300739,Polycyclic Aromatic Hydrocarbon (PAH)
300743,Polychlorinated Biphenyl
300745,Polychlorinated Biphenyl
300763,Polychlorinated Biphenyl
300764,Polychlorinated Biphenyl
300765,Polychlorinated Biphenyl
300766,Polychlorinated Biphenyl
300773,Polychlorinated Biphenyl
300894,Polychlorinated Biphenyl
300897,Polychlorinated Biphenyl
300898,Polychlorinated Biphenyl
300899,Polychlorinated Biphenyl
300900,Polychlorinated Biphenyl
300901,Polychlorinated Biphenyl
300903,Polychlorinated Biphenyl
300904,Polychlorinated Biphenyl
300905,Polychlorinated Biphenyl
300906,Polychlorinated Biphenyl
300907,Polychlorinated Biphenyl
300908,Polychlorinated Biphenyl
300909,Polychlorinated Biphenyl
300910,Polychlorinated Biphenyl
300911,Polychlorinated Biphenyl
300912,Polychlorinated Biphenyl
300913,Polychlorinated Biphenyl
300914,Polychlorinated Biphenyl
300915,Polychlorinated Biphenyl
300916,Polychlorinated Biphenyl
300917,Polychlorinated Biphenyl
300918,Polychlorinated Biphenyl
300919,Polychlorinated Biphenyl
300920,Polychlorinated Biphenyl
300921,Polychlorinated Biphenyl
300922,Polychlorinated Biphenyl
300923,Polychlorinated Biphenyl
300924,Polychlorinated Biphenyl
300925,Polychlorinated Biphenyl
300926,Polychlorinated Biphenyl
300927,Polychlorinated Biphenyl
300928,Polychlorinated Biphenyl
300929,Polychlorinated Biphenyl
300930,Polychlorinated Biphenyl
300931,Polychlorinated Biphenyl
300932,Polychlorinated Biphenyl
300933,Polychlorinated Biphenyl
300934,Polychlorinated Biphenyl
300935,Polychlorinated Biphenyl
300936,Polychlorinated Biphenyl
300937,Polychlorinated Biphenyl
300938,Polychlorinated Biphenyl
300939,Polychlorinated Biphenyl
300940,Polychlorinated Biphenyl
300941,Polychlorinated Biphenyl
300942,Polychlorinated Biphenyl
300943,Polychlorinated Biphenyl
300944,Polychlorinated Biphenyl
300993,Polychlorinated Biphenyl
300994,Polychlorinated Biphenyl
300995,Polychlorinated Biphenyl
300996,Polychlorinated Biphenyl
300997,Polychlorinated Biphenyl
300998,Polychlorinated Biphenyl
300999,Polychlorinated Biphenyl
301000,Polychlorinated Biphenyl
301001,Polychlorinated Biphenyl
301002,Polychlorinated Biphenyl
301003,Polychlorinated Biphenyl
301004,Polychlorinated Biphenyl
301005,Polychlorinated Biphenyl
301006,Polychlorinated Biphenyl
301007,Polychlorinated Biphenyl
301008,Polychlorinated Biphenyl
301009,Polychlorinated Biphenyl
301010,Polychlorinated Biphenyl
301011,Polychlorinated Biphenyl
301017,Polychlorinated Biphenyl
301018,Polychlorinated Biphenyl
301019,Polychlorinated Biphenyl
301020,Polychlorinated Biphenyl
301021,Polychlorinated Biphenyl
301022,Polychlorinated Biphenyl
301023,Polychlorinated Biphenyl
301024,Polychlorinated Biphenyl
301025,Polychlorinated Biphenyl
301026,Polychlorinated Biphenyl
301027,Polychlorinated Biphenyl
301028,Polychlorinated Biphenyl
301029,Polychlorinated Biphenyl
301030,Polychlorinated Biphenyl
301031,Polychlorinated Biphenyl
301032,Polychlorinated Biphenyl
301033,Polychlorinated Biphenyl
301034,Polychlorinated Biphenyl
301035,Polychlorinated Biphenyl
301036,Polychlorinated Biphenyl
301037,Polychlorinated Biphenyl
301038,Polychlorinated Biphenyl
301039,Polychlorinated Biphenyl
301040,Polychlorinated Biphenyl
301041,Polychlorinated Biphenyl
301042,Polychlorinated Biphenyl
301043,Polychlorinated Biphenyl
301044,Polychlorinated Biphenyl
301045,Polychlorinated Biphenyl
301046,Polychlorinated Biphenyl
301047,Polychlorinated Biphenyl
301048,Polychlorinated Biphenyl
301049,Polychlorinated Biphenyl
301050,Polychlorinated Biphenyl
301051,Polychlorinated Biphenyl
301052,Polychlorinated Biphenyl
301053,Polychlorinated Biphenyl
301054,Polychlorinated Biphenyl
301055,Polychlorinated Biphenyl
301056,Polychlorinated Biphenyl
301057,Polychlorinated Biphenyl
301058,Polychlorinated Biphenyl
301059,Polychlorinated Biphenyl
301060,Polychlorinated Biphenyl
301061,Polychlorinated Biphenyl
301062,Polychlorinated Biphenyl
301063,Polychlorinated Biphenyl
301064,Polychlorinated Biphenyl
301065,Polychlorinated Biphenyl
301066,Polychlorinated Biphenyl
301067,Polychlorinated Biphenyl
301068,Polychlorinated Biphenyl
301069,Polychlorinated Biphenyl
301070,Polychlorinated Biphenyl
301071,Polychlorinated Biphenyl
301072,Polychlorinated Biphenyl
301073,Polychlorinated Biphenyl
301074,Polychlorinated Biphenyl
301075,Polychlorinated Biphenyl
301076,Polychlorinated Biphenyl
301077,Polychlorinated Biphenyl
301078,Polychlorinated Biphenyl
301079,Polychlorinated Biphenyl
