ParameterID,ChemicalUrl,OralRfDAssessment,InhalationRfCAssessment,CarcinogenicityAssessment
485,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=419,Yes (Last revised: 09-01-1990),No,Yes (Last revised: 10-01-1989)
504,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=123,Yes (Last revised: 04-06-1987),No,No
511,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=65,Yes (Last revised: 01-31-1987),No,No
520,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=169,Yes (Last revised: 03-31-1987),No,No
522,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=614,Discussion (Last revised: 07-31-2007),Discussion (Last revised: 07-31-2007),Yes (Last revised: 07-31-2007)
523,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=63,Yes (Last revised: 09-01-1989),Message (Last revised: 03-01-1991),Yes (Last revised: 10-01-1992)
525,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=306,Yes (Last revised: 08-01-1997),Yes (Last revised: 08-01-1997),Yes (Last revised: 08-01-1997)
531,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=1017,Yes (Last revised: 09-22-2009),Discussion (Last revised: 09-22-2009),Yes (Last revised: 09-22-2009)
537,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=277,Discussion (Last revised: 07-08-2004),No,Yes (Last revised: 09-26-1988)
550,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=248,Yes (Last revised: 09-30-1987),No,No
551,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=307,Yes (Last revised: 08-22-1988),No,No
553,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=373,Yes (Last revised: 11-01-1995),Yes (Last revised: 12-01-1993),Yes (Last revised: 09-26-1988)
554,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=66,Yes (Last revised: 08-28-1987),No,No
555,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=67,Yes (Last revised: 01-01-1989),No,No
556,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=370,No,Yes (Last revised: 06-01-1995),Yes (Last revised: 05-01-1995)
557,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=366,Yes (Last revised: 09-07-1988),Message (Last revised: 11-01-1992),No
561,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=359,Yes (Last revised: 09-07-1988),No,No
563,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=305,Yes (Last revised: 09-30-2013),Yes (Last revised: 09-30-2013),No
566,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=69,Yes (Last revised: 01-31-1987),No,No
567,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=369,Yes (Last revised: 09-01-1990),Discussion (Last revised: 12-01-1993),Yes (Last revised: 09-07-1988)
568,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=441,No,No,Yes (Last revised: 12-01-1990)
570,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=650,No,No (Last revised: 09-01-1992),No (Last revised: 03-01-1994)
572,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=1000,Yes (Last revised: 03-02-1998),Yes (Last revised: 03-02-1998),Yes (Last revised: 03-02-1998)
576,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=545,No,Yes (Last revised: 09-01-1993),No
594,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=175,Yes (Last revised: 03-31-1987),No,No
595,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=436,Yes (Last revised: 09-17-1998),Yes (Last revised: 09-17-1998),Yes (Last revised: 09-17-1998)
609,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=79,Yes (Last revised: 02-06-2009),Yes (Last revised: 02-06-2009),Yes (Last revised: 02-06-2009)
616,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=610,No,Message (Last revised: 10-01-1991),No
635,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=459,No,No,Yes (Last revised: 12-01-1990)
638,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=88,Yes (Last revised: 09-30-2002),Discussion (Last revised: 09-30-2002),Yes (Last revised: 09-30-2002)
643,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=255,Withdrawn (Last revised: 12-01-1988),No,No
644,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=91,Yes (Last revised: 01-31-1987),No,No
650,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=460,Yes (Last revised: 08-01-1990),No,Yes (Last revised: 12-01-1990)
651,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=308,Yes (Last revised: 09-07-1988),No,No
654,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=256,Yes (Last revised: 09-30-1987),No,No
665,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=94,Yes (Last revised: 01-31-1987),No,No
667,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=95,Yes (Last revised: 01-31-1987),No,No
668,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=96,Yes (Last revised: 01-31-1987),No,No
669,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=468,Yes (Last revised: 11-01-1990),No,No
670,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=187,Yes (Last revised: 08-28-1987),No,No
671,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=260,Yes (Last revised: 09-30-1987),No,No
674,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=543,No,Message (Last revised: 06-01-1991),No
678,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=445,Yes (Last revised: 09-01-1990),No,Yes (Last revised: 09-01-1990)
679,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=261,Yes (Last revised: 09-30-1987),No,No
680,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=1004,Discussion (Last revised: 09-27-2001),Discussion (Last revised: 09-27-2001),Yes (Last revised: 09-27-2001)
681,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=313,Yes (Last revised: 09-26-1988),No,Yes (Last revised: 08-01-1990)
686,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=405,Yes (Last revised: 06-01-1994),No,No
693,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=1023,Yes (Last revised: 02-21-2012),Yes (Last revised: 02-21-2012),Yes (Last revised: 02-21-2012)
703,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=269,Yes (Last revised: 09-26-1988),No,Yes (Last revised: 06-01-1989)
705,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=118,Yes (Last revised: 09-23-2005),Yes (Last revised: 09-23-2005),Yes (Last revised: 09-23-2005)
730,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=294,Message (Last revised: 06-01-1994),No,Yes (Last revised: 10-01-1996)
743,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=346,No,No,Yes (Last revised: 08-22-1988)
746,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=314,Yes (Last revised: 09-30-2010),Discussion (Last revised: 09-30-2010),Yes (Last revised: 09-30-2010)
748,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=353,No,Message (Last revised: 09-01-1990),Yes (Last revised: 09-07-1988)
752,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=47,Yes (Last revised: 01-31-1987),No,Yes (Last revised: 08-01-1989)
755,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=232,Yes (Last revised: 09-30-1987),No,No
759,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=154,Yes (Last revised: 03-31-1987),No,No
762,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=233,Yes (Last revised: 08-22-1988),No,No
769,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=363,Yes (Last revised: 09-07-1988),No,Yes (Last revised: 10-01-1989)
772,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=50,Withdrawn (Last revised: 04-01-1992),Yes (Last revised: 04-01-1992),Yes (Last revised: 03-01-1988)
773,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=236,Yes (Last revised: 09-30-1987),No,No
777,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=156,Yes (Last revised: 09-01-1989),No,No
779,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=157,Yes (Last revised: 03-01-1987),No,No
782,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=629,No,Message (Last revised: 04-01-1992),No
783,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=423,Yes (Last revised: 09-01-1990),No,No
788,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=51,Yes (Last revised: 01-31-1987),Yes (Last revised: 03-01-1991),Yes (Last revised: 09-17-1988)
791,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=238,Yes (Last revised: 09-30-1987),No,No
792,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=1025,No,No,Yes (Last revised: 12-16-2016)
812,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=65,Yes (Last revised: 01-31-1987),No,No
817,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=243,Yes (Last revised: 09-30-1987),No,Yes (Last revised: 09-30-1987)
818,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=160,Yes (Last revised: 09-30-1987),No,Yes (Last revised: 09-30-1987)
820,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=374,Yes (Last revised: 09-26-1988),Message (Last revised: 03-01-1991),Yes (Last revised: 03-01-1991)
821,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=58,Withdrawn (Last revised: 05-01-1993),No,Yes (Last revised: 03-31-1987)
822,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=59,Yes (Last revised: 07-05-2001),Yes (Last revised: 07-05-2001),Yes (Last revised: 07-05-2001)
823,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=167,Yes (Last revised: 09-23-2011),Yes (Last revised: 09-23-2011),Yes (Last revised: 09-23-2011)
824,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=338,Yes (Last revised: 08-22-1988),No,No
830,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=246,Yes (Last revised: 09-30-1987),No,No
833,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=311,Yes (Last revised: 09-26-1988),No,Yes (Last revised: 03-01-1989)
841,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=396,No,Yes (Last revised: 07-01-1995),No
843,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=61,Withdrawn; discussion (Last revised: 07-28-2003),Yes (Last revised: 07-28-2003),Yes (Last revised: 07-28-2003)
845,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=508,No,Message (Last revised: 10-01-1990),No
