ParameterID,ParameterName,CASNumber,AlternateName,MolecularFormula,MolecularWeight
880,n-Eicosane,112-95-8,,C20H42,282.547
884,n-Heptadecane,629-78-7,,C17H36,240.468
888,n-Hexadecane,544-76-3,,C16H34,226.441
903,n-Nonane,111-84-2,,C9H20,128.255
906,n-Octadecane,593-45-3,NULL,C18H38,254.494
914,p-Isopropyltoluene,99-87-6,,C10H14,134.218
963,sec-Butylbenzene,135-98-8,,C10H14,134.218
988,Styrene,100-42-5,Phenethylene,C8H8,104.149
1012,tert-Butylbenzene,98-06-6,,C10H14,134.222
1037,TPP,115-86-6,Triphenylphosphate,C18H15O4P,326.2831
1259,Xylenes (m and p),108-38-3 & 106-42-3,,C8H10,106.165
1999,Cumene,98-82-8,2-phenylpropane,C9H12,120.192
300291,"dibenzo[a,h]pyrene",189-64-0,DBahP,C24H14,302.368
300293,"dibenzo[a,l]pyrene",191-30-0,DBalP,C24H14,302.368
300295,"9,10-Anthraquinone",84-65-1,"9,10-Anthraquinone / 9,10-Anthracenedione",C14H8O2,208.2121
300299,Benzanthrone,82-05-3,"1,9-Benz-10-anthrone/7H-Benz[de]anthracen-7-one",C17H10O,230.2607
300306,9-Fluorenone,486-25-9,9H-Fluoren-9-one,C13H8O,180.202
300312,9-methylanthracene,779-02-2,AC9Me,C15H12,192.2558
300315,"2,3-dimethylanthracene",613-06-9,AC23DMe,C16H14,206.2824
300317,"3,6-dimethylphenanthrene",1576-67-6,PH36DMe,C16H14,206.2824
300318,triphenylene,217-59-4,Tphen,C18H12,228.2879
300335,benzo[a]chrysene,213-46-7,Pic,C22H14,278.3466
300336,coronene,191-07-1,CO,C24H12,300.3521
300377,"dibenzo[a,e]fluoranthene",5385-75-1,DBaeF,C24H14,302.368
300386,"1,6-dimethylnaphthalene",575-43-9,N16DMe,C12H12,156.2237
300387,"1,2-dimethylnaphthalene",573-98-8,N12DMe,C12H12,156.2237
300388,dibenzothiophene,132-65-0,DBT,C12H8S,184.257
300389,2-methylphenanthrene,2531-84-2,PH2Me,C15H12,192.2558
300390,2-methylanthracene,613-12-7,AC2Me,C15H12,192.2558
300391,retene,483-65-8,Ret,C18H18,234.3355
300392,1-methylpyrene,2381-21-7,P1Me,C17H12,216.2772
300406,"dibenzo[a,i]pyrene",189-55-9,DBaiP,C24H14,302.368
300416,Benzofluorenone,76723-60-9,11-benzo[a]fluorenone,C17H10O,230.266
300503,anthanthrene,191-26-4,AA,C22H12,276.3307
300639,Tributyl phosphate,126-73-8,,C12H27O4P,266.3141
300685,"2,6-dimethylnaphthalene",581-42-0,N26DMe,C12H12,156.2237
300739,cyclopenta[cd]pyrene,27208-37-3,CPcdP,C18H10,226.272
301157,Xanthone,90-47-1,,C13H8O2,196.201
